autor,estilo
The Strokes,"permanent wave, garage rock, modern rock, alternative rock, rock   ☷   ⓘ"
L7NNON,"pop rap brasileiro, funk carioca   ☷   ⓘ"
Kris Kross Amsterdam,"dutch house, dutch pop   ☷   ⓘ"
 Dulce María,latin arena pop   ☷   ⓘ
Os Barões Da Pisadinha,"piseiro, arrocha, forro   ☷   ⓘ"
Selena Gomez,"pop, post-teen pop, dance pop   ☷   ⓘ"
 Cris Mj,"mambo chileno, urbano chileno   ☷   ⓘ"
 Quan'ta,"Related artists in: vapor trap, plugg, trap, underground hip hop, melodic rap, meme rap, rap, viral rap   ☷   ⓘ"
Marc Anthony,"tropical, modern salsa, latin pop, salsa   ☷   ⓘ"
 Ty Dolla $ign,"pop rap, trap, trap soul, southern hip hop, r&b, pop, hip hop, dance pop   ☷   ⓘ"
Dean Lewis,"australian pop, pop   ☷   ⓘ"
 Mila,"Sorry, that one doesn't seem to be on any of these maps yet."
 Stunna Gambino,nyc rap   ☷   ⓘ
The Citizens of Halloween,halloween   ☷   ⓘ
 Andrelli,swedish pop   ☷   ⓘ
 Young Stoner Life,"rap, trap, southern hip hop, hip hop   ☷   ⓘ"
 Becky Hill,"uk dance, pop house, pop dance, tropical house, dance pop, pop, edm   ☷   ⓘ"
ElyOtto,"weirdcore, hyperpop   ☷   ⓘ"
Ricky Martin,"puerto rican pop, latin pop, mexican pop, dance pop   ☷   ⓘ"
 Maren Morris,"contemporary country, country, texas country, country road, pop   ☷   ⓘ"
DJ Lucas Beat,sertanejo pop   ☷   ⓘ
 The Neptunes,"Related artists in: hip hop, alternative hip hop, underground hip hop, southern hip hop, rap, atl hip hop, pop rap, virginia hip hop, chicago rap, dirty south rap   ☷   ⓘ"
Paramore,"candy pop, pixie, pop emo, pop punk   ☷   ⓘ"
Felipe Araújo,"arrocha, sertanejo universitario, sertanejo pop, sertanejo   ☷   ⓘ"
Axwell /\ Ingrosso,"pop dance, edm, tropical house, dance pop, electro house, pop   ☷   ⓘ"
 Savage Ga$p,"viral rap, aesthetic rap, meme rap   ☷   ⓘ"
 ABRA,"alternative r&b, escape room, electropop   ☷   ⓘ"
 Juice WRLD,"melodic rap, chicago rap   ☷   ⓘ"
 HUGEL,"deep house, pop dance, tropical house, edm   ☷   ⓘ"
 Analaga,"Related artists in: sertanejo pop, sertanejo universitario, sertanejo, arrocha, forro, funk carioca   ☷   ⓘ"
 Olly Murs,"talent show, dance pop, uk pop, pop, post-teen pop, pop dance   ☷   ⓘ"
 Os Barões Da Pisadinha,"piseiro, arrocha, forro   ☷   ⓘ"
Vince Staples,"conscious hip hop, underground hip hop, rap, hip hop   ☷   ⓘ"
 Big Freedia,"lgbtq+ hip hop, new orleans rap, bounce, trap queen, escape room   ☷   ⓘ"
 Swizz Beatz,"battle rap, pop rap, southern hip hop, dirty south rap, trap, rap   ☷   ⓘ"
Jonas Blue,"tropical house, pop, pop dance, uk dance, dance pop, edm   ☷   ⓘ"
BoyWithUke,sad rap   ☷   ⓘ
 Tego Calderón,"latin hip hop, reggaeton, rap boricua, urbano latino, reggaeton flow   ☷   ⓘ"
J Hus,"afroswing, uk hip hop, grime   ☷   ⓘ"
 Knox Fortune,chicago indie   ☷   ⓘ
 Evaluna Montaner,"latin viral pop, pop venezolano   ☷   ⓘ"
Raí Saia Rodada,"arrocha, forro   ☷   ⓘ"
Florida Georgia Line,"contemporary country, country road, modern country rock, country, country pop   ☷   ⓘ"
 Nathaniel Alford,"Sorry, that one doesn't seem to be on any of these maps yet."
MC Kevinho,"funk pop, funk carioca, arrocha, funk ostentacao   ☷   ⓘ"
 Jax Jones,"dance pop, tropical house, pop dance, uk dance, edm, pop, house, pop rap, electro house   ☷   ⓘ"
Luar La L,"trap latino, urbano latino, reggaeton flow, reggaeton   ☷   ⓘ"
 Nicki Nicole,"r&b argentino, argentine hip hop, trap argentino   ☷   ⓘ"
 DannyLux,"sad sierreno, corridos tumbados, nueva musica mexicana   ☷   ⓘ"
Dj LK da Escócia,funk carioca   ☷   ⓘ
 Mikky Ekko,nashville indie   ☷   ⓘ
 -,"Sorry, that one doesn't seem to be on any of these maps yet."
 Lil Dicky,"comedy rap, pop rap, rap   ☷   ⓘ"
Backstreet Boys,"boy band, dance pop   ☷   ⓘ"
Luke Combs,"contemporary country, country   ☷   ⓘ"
 Pharrell Williams,"hip hop, pop rap, pop   ☷   ⓘ"
 Orietta Berti,classic italian pop   ☷   ⓘ
RM,k-rap   ☷   ⓘ
 Rennan da Penha,"funk 150 bpm, funk carioca   ☷   ⓘ"
Chris Jedi,"urbano latino, trap latino, reggaeton, reggaeton flow, latin hip hop   ☷   ⓘ"
 Sophia Somajo,swedish electropop   ☷   ⓘ
Charlie Puth,"pop, viral pop, dance pop   ☷   ⓘ"
 Static Major,"Related artists in: urban contemporary, r&b, hip pop, pop rap, contemporary r&b, pop r&b   ☷   ⓘ"
Kofs,"rap marseille, pop urbaine, rap francais, french hip hop, francoton   ☷   ⓘ"
 Mara Sattei,"italian pop, italian hip hop   ☷   ⓘ"
 Ana Castela,sertanejo pop   ☷   ⓘ
 Small Jam,solomon islands pop   ☷   ⓘ
Martin Solveig,"tropical house, pop dance, edm, house, disco house, dance pop, filter house, vocal house, electro house   ☷   ⓘ"
 Justin Jesso,"Related artists in: uk pop, alt z, pop   ☷   ⓘ"
 salem ilese,modern indie pop   ☷   ⓘ
Fivio Foreign,"brooklyn drill, new york drill, rap, trap   ☷   ⓘ"
Logic,"dmv rap, conscious hip hop, rap, pop rap, hip hop   ☷   ⓘ"
Naomi Scott,"vapor pop, hollywood   ☷   ⓘ"
 Pop Smoke,brooklyn drill   ☷   ⓘ
Bruno Mars,"pop, dance pop   ☷   ⓘ"
Miley Cyrus,"pop, post-teen pop, dance pop   ☷   ⓘ"
Jason Derulo,"dance pop, pop, pop rap, post-teen pop, edm   ☷   ⓘ"
 KEVVO,"trap latino, urbano latino, reggaeton flow, perreo, reggaeton   ☷   ⓘ"
Jon Bellion,pop rap   ☷   ⓘ
Jorge & Mateus,"sertanejo universitario, arrocha, sertanejo   ☷   ⓘ"
 Cedric Gervais,"edm, electro house   ☷   ⓘ"
 EARTHGANG,"psychedelic hip hop, underground hip hop, atl hip hop, rap, hip hop   ☷   ⓘ"
Xand Avião,"arrocha, forro de favela, funk carioca   ☷   ⓘ"
 Animus,"deep german hip hop, german hip hop   ☷   ⓘ"
 James Blunt,"neo mellow, pop rock, pop   ☷   ⓘ"
Isaiah Firebrace,"australian pop, australian talent show   ☷   ⓘ"
Maggie Lindemann,"dark pop, alt z, post-teen pop, pop, pop punk   ☷   ⓘ"
Dark Polo Gang,"trap italiana, italian hip hop, italian indie pop   ☷   ⓘ"
 Mc Gw,"funk mtg, funk carioca, funk paulista, funk ostentacao   ☷   ⓘ"
Yohani,sinhala indie   ☷   ⓘ
Boef,dutch hip hop   ☷   ⓘ
 Naps,"rap marseille, francoton, pop urbaine, french hip hop   ☷   ⓘ"
Gjon's Tears,eurovision   ☷   ⓘ
21 Savage,"rap, atl hip hop   ☷   ⓘ"
Teto,trap baiano   ☷   ⓘ
Joji,viral pop   ☷   ⓘ
Lexa,"funk pop, pop nacional, funk carioca, pop lgbtq+ brasileira   ☷   ⓘ"
James Blunt,"neo mellow, pop rock, pop   ☷   ⓘ"
MC Zaquin,"funk bh, funk carioca, funk mtg   ☷   ⓘ"
 Bipolar Sunshine,gauze pop   ☷   ⓘ
187 Strassenbande,"hamburg hip hop, german hip hop   ☷   ⓘ"
Fleetwood Mac,"yacht rock, album rock, classic rock, soft rock, rock   ☷   ⓘ"
 kiLL edward,"Related artists in: underground hip hop, hip hop, rap, indie hip hop, chicago rap, atl hip hop, cali rap, southern hip hop, trap   ☷   ⓘ"
 Pol Granch,spanish pop   ☷   ⓘ
Bushido,german hip hop   ☷   ⓘ
Aaron Smith,chicago house   ☷   ⓘ
 Alico,"Sorry, that one doesn't seem to be on any of these maps yet."
 Myd,"filter house, french indietronica, new french touch, french indie pop   ☷   ⓘ"
Shae Gill,"Related artists in: desi pop, modern bollywood, filmi, desi hip hop, punjabi pop, sufi   ☷   ⓘ"
Go_A,eurovision   ☷   ⓘ
 GZA,"hip hop, hardcore hip hop, east coast hip hop, gangster rap, alternative hip hop, rap   ☷   ⓘ"
Manu Gavassi,"pop nacional, funk carioca, post-teen pop, pop   ☷   ⓘ"
 Joey Bada$$,"rap, conscious hip hop, hip hop, underground hip hop   ☷   ⓘ"
 Big Rube,atl hip hop   ☷   ⓘ
 Rymez,channel pop   ☷   ⓘ
 Jhayco,"trap latino, urbano latino, reggaeton   ☷   ⓘ"
Don Patricio,"rap canario, urbano espanol   ☷   ⓘ"
 Yung Bans,"vapor trap, plugg, underground hip hop, trap, viral rap, rap   ☷   ⓘ"
Lil Peep,"lgbtq+ hip hop, emo rap   ☷   ⓘ"
Wallows,"modern rock, indie pop, pop   ☷   ⓘ"
24kGoldn,"cali rap, pop rap, rap, pop   ☷   ⓘ"
Mike WiLL Made-It,"trap, rap, atl hip hop, pop rap, southern hip hop, underground hip hop   ☷   ⓘ"
 HUMAN(X),"Sorry, that one doesn't seem to be on any of these maps yet."
King Von,chicago rap   ☷   ⓘ
A$AP Rocky,"rap, east coast hip hop, hip hop   ☷   ⓘ"
Kevin Roldan,"reggaeton colombiano, urbano latino, trap latino, reggaeton, perreo, reggaeton flow, latin hip hop   ☷   ⓘ"
 Rich The Kid,"melodic rap, rap, trap, atl hip hop, plugg, pop rap, vapor trap, southern hip hop, viral rap, hip hop   ☷   ⓘ"
CKay,afro r&b   ☷   ⓘ
Sean Kingston,"dance pop, miami hip hop, pop, post-teen pop, urban contemporary, rap   ☷   ⓘ"
Tyla Yaweh,"melodic rap, pop rap, trap, rap, cali rap, pop   ☷   ⓘ"
Tory Lanez,"canadian trap, rap, toronto rap, melodic rap, pop rap, canadian hip hop, trap, r&b, pop   ☷   ⓘ"
Polimá Westcoast,"urbano chileno, trap triste, trap chileno, urbano latino   ☷   ⓘ"
Nardo Wick,"florida rap, trap, rap   ☷   ⓘ"
 Boef,dutch hip hop   ☷   ⓘ
Gentleman,"german reggae, reggae fusion, cologne hip hop, german hip hop   ☷   ⓘ"
 Maty Noyes,"alt z, indie poptimism, electropop   ☷   ⓘ"
 TrifeDrew,"Related artists in: vapor trap, melodic rap, czsk hip hop, canadian hip hop, czech hip hop, trap, underground hip hop, canadian trap, slovak hip hop, toronto rap   ☷   ⓘ"
 Cookin' On 3 Burners,"instrumental funk, bboy, modern funk, funk   ☷   ⓘ"
 Dala,pop urbaine   ☷   ⓘ
 Tyler Cole,bedroom soul   ☷   ⓘ
Thirty Seconds To Mars,"post-grunge, modern rock, rock   ☷   ⓘ"
 Juanka,"reggaeton flow, trap latino, urbano latino, reggaeton   ☷   ⓘ"
 Miguel,"r&b, urban contemporary, pop, dance pop, hip hop   ☷   ⓘ"
 Andrea Bocelli,"operatic pop, italian tenor, classical tenor   ☷   ⓘ"
 Wafia,australian pop   ☷   ⓘ
Eno,"german drill, german hip hop   ☷   ⓘ"
Joyner Lucas,"boston hip hop, pop rap, rap, hip hop   ☷   ⓘ"
 Tz da Coronel,"trap funk, funk carioca   ☷   ⓘ"
Kesha,"dance pop, pop, post-teen pop   ☷   ⓘ"
Giveon,"pop, r&b   ☷   ⓘ"
 GIMS,"rap conscient, francoton, french hip hop   ☷   ⓘ"
Jasleen Royal,"indian singer-songwriter, modern bollywood, desi pop, filmi   ☷   ⓘ"
 Cardi B,"pop, rap, dance pop   ☷   ⓘ"
 Tion Wayne,london rap   ☷   ⓘ
 Slait,"Related artists in: italian hip hop, italian underground hip hop, italian pop, trap italiana, rap italiano old school, rap napoletano   ☷   ⓘ"
Olivia Holt,"post-teen pop, social media pop, alt z, pop, dance pop   ☷   ⓘ"
Eleni Foureira,"greek pop, laiko   ☷   ⓘ"
 Lil Zey,"turkce kadin rap, turkish trap   ☷   ⓘ"
 Sophie and the Giants,sheffield indie   ☷   ⓘ
Pooh Shiesty,"tennessee hip hop, memphis hip hop, trap, southern hip hop, rap   ☷   ⓘ"
 TRAVI,"Sorry, that one doesn't seem to be on any of these maps yet."
State of Sound,"swedish tropical house, deep tropical house, tropical house   ☷   ⓘ"
James Hersey,"Related artists in: tropical house, electropop, deep tropical house, indie poptimism, vapor soul, new french touch, edm, german indie, la pop, nyc pop   ☷   ⓘ"
 XATAR,"kurdish hip hop, german hip hop, hamburg hip hop   ☷   ⓘ"
 Kin$oul,"Related artists in: dark trap, underground hip hop, vapor trap, miami hip hop, aesthetic rap, emo rap, viral rap   ☷   ⓘ"
Gym Class Heroes,"pop rap, dance pop   ☷   ⓘ"
 Chimbala,"dembow, rap dominicano, dominican pop, urbano latino   ☷   ⓘ"
 ILLENIUM,"melodic dubstep, pop dance, tropical house, edm, pop   ☷   ⓘ"
 VIZE,"german dance, slap house, pop dance, tropical house, dance pop, edm   ☷   ⓘ"
 Dj Lv Mdp,"funk bh, funk mtg   ☷   ⓘ"
 Chefin,funk carioca   ☷   ⓘ
Maroon 5,pop   ☷   ⓘ
 YUNGBLUD,"british indie rock, modern rock, rock   ☷   ⓘ"
 Ed Sheeran,"uk pop, pop   ☷   ⓘ"
 Skizzy Mars,"indie pop rap, pop rap, underground hip hop   ☷   ⓘ"
CJ,nyc rap   ☷   ⓘ
 Emma Stone,hollywood   ☷   ⓘ
 Hot Shade,"tropical house, pop dance, pop edm, edm   ☷   ⓘ"
Perry Como,"adult standards, easy listening, vocal jazz   ☷   ⓘ"
 REASON,"indie hip hop, underground hip hop, rap, southern hip hop, hip hop   ☷   ⓘ"
Harry Nach,"urbano chileno, trap chileno, urbano latino   ☷   ⓘ"
Calboy,"melodic rap, chicago rap, trap, vapor trap, pop rap, rap   ☷   ⓘ"
 Daniel Caesar,"canadian contemporary r&b, pop, r&b   ☷   ⓘ"
Alexander 23,"pop, alt z   ☷   ⓘ"
 B Praak,"desi pop, punjabi pop   ☷   ⓘ"
 Don Toliver,"rap, trap, pop   ☷   ⓘ"
 Elley Duhé,"alt z, pop   ☷   ⓘ"
BØRNS,"modern rock, pop   ☷   ⓘ"
 mc jhenny,"funk mandelao, funk carioca   ☷   ⓘ"
DripReport,viral rap   ☷   ⓘ
Kay Starr,"torch song, adult standards, lounge, vocal jazz, easy listening, swing   ☷   ⓘ"
 DJ KOSTA 22,"Sorry, that one doesn't seem to be on any of these maps yet."
 Miquela,"ai, la pop   ☷   ⓘ"
Abraham Mateo,"latin viral pop, latin arena pop, latin pop, spanish pop, reggaeton, dominican pop   ☷   ⓘ"
JVKE,"modern indie pop, pop   ☷   ⓘ"
d4vd,bedroom pop   ☷   ⓘ
 Kellin Quinn,"Related artists in: pop punk, pixie, punk cover   ☷   ⓘ"
Crissin,"reggaeton colombiano, urbano latino   ☷   ⓘ"
 Jhay Cortez,"trap latino, urbano latino, reggaeton flow, reggaeton   ☷   ⓘ"
 James Arthur,"pop, uk pop, talent show   ☷   ⓘ"
Loud Luxury,"pop dance, tropical house, edm, dance pop, electro house, pop   ☷   ⓘ"
 Flyboy Tarantino,"Related artists in: underground hip hop, dark trap, vapor trap, viral rap, aesthetic rap, emo rap, melodic rap, meme rap, miami hip hop, rap   ☷   ⓘ"
James Brown,"soul, funk   ☷   ⓘ"
Judy Garland,"torch song, adult standards, lounge, vocal jazz, hollywood   ☷   ⓘ"
 Mavzer Tabancas,"Sorry, that one doesn't seem to be on any of these maps yet."
ATB,"german trance, german dance, german techno, trance   ☷   ⓘ"
 Rhenzy Feliz,"Sorry, that one doesn't seem to be on any of these maps yet."
 J. Davi$,Related artists in: rap   ☷   ⓘ
 Hallie Coggins,"Sorry, that one doesn't seem to be on any of these maps yet."
 Fabri Fibra,"rap napoletano, italian hip hop   ☷   ⓘ"
David Guetta,"big room, dance pop, edm, pop dance, pop   ☷   ⓘ"
 DJ Yuri Martins,"Related artists in: funk carioca, funk ostentacao, funk paulista, funk consciente, funk mtg   ☷   ⓘ"
Regard,"slap house, tropical house, pop dance, edm, dance pop, pop edm, pop, electro house   ☷   ⓘ"
OMI,dance pop   ☷   ⓘ
 Yugen Blakrok,"spiritual hip hop, south african hip hop   ☷   ⓘ"
Kanye West,"chicago rap, rap   ☷   ⓘ"
 Nicky Jam,"reggaeton, latin hip hop, urbano latino   ☷   ⓘ"
 Lary Over,"trap latino, urbano latino, reggaeton flow, reggaeton, latin hip hop   ☷   ⓘ"
Pinguini Tattici Nucleari,"bergamo indie, milan indie, italian pop, italian indie pop   ☷   ⓘ"
 Lexa,"funk pop, pop nacional, funk carioca, pop lgbtq+ brasileira   ☷   ⓘ"
Bryant Myers,"trap latino, urbano latino, reggaeton, reggaeton flow, latin hip hop   ☷   ⓘ"
Agust D,k-rap   ☷   ⓘ
Calum Scott,"pop, neo mellow   ☷   ⓘ"
Gera MX,"mexican hip hop, rap conciencia, urbano mexicano   ☷   ⓘ"
 Night Lovell,"canadian trap, ottawa rap, dark trap, underground hip hop, aesthetic rap, canadian hip hop   ☷   ⓘ"
Young M.A,"nyc rap, lgbtq+ hip hop, trap, rap, viral rap, alternative r&b, pop rap   ☷   ⓘ"
 Noyz Narcos,"italian hip hop, italian underground hip hop   ☷   ⓘ"
 Taiu,"Sorry, that one doesn't seem to be on any of these maps yet."
Danna Paola,"mexican pop, urbano mexicano, latin viral pop, latin pop, pop   ☷   ⓘ"
Kep1er,k-pop   ☷   ⓘ
 Bright Sparks,"Related artists in: rock, art pop, dance rock, edm, electro, modern rock, new romantic, new wave, permanent wave, pop   ☷   ⓘ"
La Pantera,rap canario   ☷   ⓘ
Nicki Nicole,"r&b argentino, argentine hip hop, trap argentino   ☷   ⓘ"
Grupo Frontera,nueva musica mexicana   ☷   ⓘ
 Lauv,"pop, electropop, dance pop   ☷   ⓘ"
 SFR,"Sorry, that one doesn't seem to be on any of these maps yet."
 Ink,"Sorry, that one doesn't seem to be on any of these maps yet."
 iann dior,"melodic rap, pop rap, pop   ☷   ⓘ"
 FP do Trem Bala,funk carioca   ☷   ⓘ
 Bryson Tiller,"kentucky hip hop, rap, r&b, trap, pop   ☷   ⓘ"
 Felipe Original,"brega funk, arrochadeira, funk carioca   ☷   ⓘ"
 Dante Klein,pop edm   ☷   ⓘ
 Moliy,"ghanaian alternative, nigerian pop   ☷   ⓘ"
BIGBANG,"k-pop, k-pop boy group   ☷   ⓘ"
Huncho Jack,"melodic rap, rap, trap, southern hip hop, pop rap, hip hop   ☷   ⓘ"
Macklemore,"seattle hip hop, pop rap   ☷   ⓘ"
Mau y Ricky,"pop venezolano, reggaeton, latin pop, urbano latino   ☷   ⓘ"
 Tee Grizzley,"rap, trap, detroit trap, detroit hip hop, southern hip hop, pop rap, hip hop   ☷   ⓘ"
 Romy,"modern bollywood, desi pop   ☷   ⓘ"
DDG,"rap, trap, viral rap, pop rap   ☷   ⓘ"
Master KG,"bolobedu house, south african house   ☷   ⓘ"
Chanel,"Related artists in: latin viral pop, eurovision, latin talent show, spanish pop, latin pop   ☷   ⓘ"
Costa Gold,"trap brasileiro, brazilian hip hop   ☷   ⓘ"
GAYLE,modern alternative pop   ☷   ⓘ
 Brandy,"r&b, urban contemporary, hip pop, contemporary r&b, neo soul, dance pop, hip hop   ☷   ⓘ"
 Lucy Rose,"british singer-songwriter, ambient folk, indie folk   ☷   ⓘ"
 Oumou Sangaré,"wassoulou, malian blues, mande pop, afropop, world   ☷   ⓘ"
BLACKPINK,"k-pop girl group, k-pop   ☷   ⓘ"
 Skinner & Lightning Seeds,"Sorry, that one doesn't seem to be on any of these maps yet."
 Kiiara,"electropop, indie poptimism, alt z, pop, post-teen pop, dance pop   ☷   ⓘ"
Bad Bunny,"trap latino, reggaeton, urbano latino   ☷   ⓘ"
 Izi,"indie liguria, rap genovese, trap italiana, italian hip hop   ☷   ⓘ"
Amenazzy,"trap latino, urbano latino, rap dominicano, dominican pop, reggaeton, reggaeton flow, latin hip hop   ☷   ⓘ"
 Bizarrap,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino   ☷   ⓘ"
 Colbie Caillat,"neo mellow, pop rock, pop, dance pop, post-teen pop   ☷   ⓘ"
Jona Lewie,new wave pop   ☷   ⓘ
 Ape Drums,"Related artists in: electronic trap, bass trap, electro house, edm, brostep, moombahton, pop dance, vapor twitch   ☷   ⓘ"
 CRO,"Sorry, that one doesn't seem to be on any of these maps yet."
 CocoRosie,"folktronica, freak folk, new weird america, art pop   ☷   ⓘ"
 Wisin,"reggaeton, latin hip hop, urbano latino   ☷   ⓘ"
 Tammi Terrell,motown   ☷   ⓘ
George Ezra,"folk-pop, neo-singer-songwriter   ☷   ⓘ"
Smiley,"toronto rap, canadian hip hop   ☷   ⓘ"
 Method Man,"hip hop, gangster rap, hardcore hip hop, east coast hip hop, rap, southern hip hop   ☷   ⓘ"
Bryan Adams,"classic canadian rock, heartland rock, canadian pop, canadian singer-songwriter, soft rock, mellow gold   ☷   ⓘ"
 Finneas O'Connell,"Related artists in: cartoon, children's music   ☷   ⓘ"
Rels B,"r&b en espanol, trap latino, spanish hip hop, urbano espanol, urbano latino   ☷   ⓘ"
Lil Mosey,"melodic rap, rap conscient, trap, vapor trap, rap, viral rap   ☷   ⓘ"
 21 Savage,"rap, atl hip hop   ☷   ⓘ"
 Stephanie Beatriz,hollywood   ☷   ⓘ
Maite Perroni,"mexican pop, latin pop   ☷   ⓘ"
 SZA,"pop, r&b, rap   ☷   ⓘ"
 Big Ali,"Related artists in: francoton, french pop   ☷   ⓘ"
 Chad Smith,rock drums   ☷   ⓘ
Blue Ivy,"Related artists in: pop, dance pop, r&b, urban contemporary, art pop, hip pop, neo soul, pop soul, rap, trap queen   ☷   ⓘ"
KALUSH,"ukrainian viral pop, ukrainian hip hop, ukrainian pop   ☷   ⓘ"
José Feliciano,"puerto rican pop, latin pop   ☷   ⓘ"
 Landon Barker,"Sorry, that one doesn't seem to be on any of these maps yet."
 Kash Doll,"trap queen, pop r&b, detroit hip hop, hip pop, alternative r&b, r&b, rap   ☷   ⓘ"
Ty Dolla $ign,"pop rap, trap, trap soul, southern hip hop, r&b, pop, hip hop, dance pop   ☷   ⓘ"
Lukas Graham,"scandipop, pop, danish pop   ☷   ⓘ"
 J Balvin,"reggaeton colombiano, reggaeton, urbano latino   ☷   ⓘ"
Rochy RD,"dembow, rap dominicano, dominican pop, urbano latino   ☷   ⓘ"
 Nile Rodgers,disco   ☷   ⓘ
Tiësto,"slap house, dutch edm, brostep, big room, pop dance, edm, trance, house, tropical house, dance pop   ☷   ⓘ"
 Carly Rae Jepsen,"pop, canadian pop, dance pop, post-teen pop, electropop   ☷   ⓘ"
 Buscabulla,"puerto rican indie, latintronica   ☷   ⓘ"
 Poo Bear,pop r&b   ☷   ⓘ
