autor,estilo
Huncho Jack,"melodic rap, rap, trap, southern hip hop, pop rap, hip hop   ☷   ⓘ"
 Xam,"Related artists in: emo rap, sad rap, sad lo-fi, lo-fi chill   ☷   ⓘ"
Lil Tecca,"melodic rap, pluggnb, rap, trap, viral rap   ☷   ⓘ"
 Bruno Mars,"pop, dance pop   ☷   ⓘ"
 Vargas ,"rap maroc, moroccan pop   ☷   ⓘ"
 Chainz,"Related artists in: redneck, country rap, bc underground hip hop, deep southern trap   ☷   ⓘ"
Omah Lay,afro dancehall   ☷   ⓘ
Aretha Franklin,"jazz blues, soul, memphis soul, southern soul, classic soul   ☷   ⓘ"
 Jasmine Thompson,"viral pop, neo mellow, pop   ☷   ⓘ"
Sigrid,norwegian pop   ☷   ⓘ
 YoungBoy Never Broke Again,"baton rouge rap, trap   ☷   ⓘ"
 Amenazzy,"trap latino, urbano latino, rap dominicano, dominican pop, reggaeton, reggaeton flow, latin hip hop   ☷   ⓘ"
Yung Gravy,minnesota hip hop   ☷   ⓘ
 Esprit Ange Andraos,"Sorry, that one doesn't seem to be on any of these maps yet."
Keala Settle,"hollywood, show tunes, broadway   ☷   ⓘ"
Ritt Momney,"bedroom pop, indie pop   ☷   ⓘ"
Chris Brown,"dance pop, r&b, pop   ☷   ⓘ"
Muni Long,"r&b, pop r&b, indie r&b, urban contemporary, rap, pop   ☷   ⓘ"
 KID,"Related artists in: pop urbaine, rap francais, german hip hop, german underground rap, french hip hop, rap marseille, german drill   ☷   ⓘ"
 Brett Eldredge,"modern country rock, contemporary country, country road, country   ☷   ⓘ"
Lil Wayne,"new orleans rap, rap, pop rap, hip hop, trap   ☷   ⓘ"
 MC Kevin o Chris,"funk 150 bpm, funk carioca   ☷   ⓘ"
 Cordae,"rap, dmv rap, trap, hip hop, underground hip hop   ☷   ⓘ"
Thomas Gold,"progressive electro house, pop edm, big room, electro house, edm, pop dance, funky tech house, progressive house, german techno   ☷   ⓘ"
 Dina Rae,"Related artists in: pop rap, southern hip hop, detroit hip hop, hip hop, dirty south rap, gangster rap, hip pop, rap, atl hip hop, hardcore hip hop   ☷   ⓘ"
 Rich The Kid,"melodic rap, rap, trap, atl hip hop, plugg, pop rap, vapor trap, southern hip hop, viral rap, hip hop   ☷   ⓘ"
Snakehips,"tropical house, edm, pop, electropop, pop dance   ☷   ⓘ"
Sam Feldt,"tropical house, pop dance, edm, dance pop, pop, pop edm, electro house   ☷   ⓘ"
 Kanye West,"chicago rap, rap   ☷   ⓘ"
Blind Channel,"oulu metal, trancecore, eurovision   ☷   ⓘ"
Nicky Youre,pop   ☷   ⓘ
SuperM,k-pop   ☷   ⓘ
 Blueface,"cali rap, trap   ☷   ⓘ"
 Fuat,turkish hip hop   ☷   ⓘ
 El Guincho,musica canaria   ☷   ⓘ
Jason Derulo,"dance pop, pop, pop rap, post-teen pop, edm   ☷   ⓘ"
 Chael Produciendo,"Related artists in: dominican pop, dembow, rap dominicano   ☷   ⓘ"
 kiLL edward,"Related artists in: underground hip hop, hip hop, rap, indie hip hop, chicago rap, atl hip hop, cali rap, southern hip hop, trap   ☷   ⓘ"
Lil Kleine,"dutch hip hop, dutch rap pop   ☷   ⓘ"
Sam Smith,"pop, uk pop, dance pop   ☷   ⓘ"
 Drew Love,"Related artists in: indie r&b, alternative r&b, chill r&b, escape room, high vibe, r&b, trap soul, indie soul, underground hip hop   ☷   ⓘ"
 Ken,"Related artists in: j-rap, japanese pop rap, japanese trap, japanese drill   ☷   ⓘ"
 Jillian Edwards,indiecoustica   ☷   ⓘ
Morgan Wallen,"contemporary country, country   ☷   ⓘ"
 Bagua Records,pop rap brasileiro   ☷   ⓘ
Britney Spears,"dance pop, pop, post-teen pop   ☷   ⓘ"
Tropkillaz,"afrofuturismo brasileiro, pop nacional, bass trap, electronic trap, funk carioca   ☷   ⓘ"
 Andr,modern alternative rock   ☷   ⓘ
 The WRLDFMS Tony Williams,psychedelic hip hop   ☷   ⓘ
 Kelsea Ballerini,"contemporary country, country, pop   ☷   ⓘ"
 Shindy,german hip hop   ☷   ⓘ
New West,toronto indie   ☷   ⓘ
 Jhen,"Sorry, that one doesn't seem to be on any of these maps yet."
Michelle Williams,hollywood   ☷   ⓘ
Blue Ivy,"Related artists in: pop, dance pop, r&b, urban contemporary, art pop, hip pop, neo soul, pop soul, rap, trap queen   ☷   ⓘ"
Nimo,"german hip hop, swedish hip hop   ☷   ⓘ"
 Joey Bada,"Sorry, that one doesn't seem to be on any of these maps yet."
Shablo,italian hip hop   ☷   ⓘ
Little Mix,"talent show, pop, girl group, uk pop, dance pop, post-teen pop   ☷   ⓘ"
E,"Sorry, that one doesn't seem to be on any of these maps yet."
 Surya Ragunaathan,"Related artists in: modern bollywood, desi pop, indian indie, filmi   ☷   ⓘ"
 Jorja Smith,"uk contemporary r&b, r&b, pop   ☷   ⓘ"
Amenazzy,"trap latino, urbano latino, rap dominicano, dominican pop, reggaeton, reggaeton flow, latin hip hop   ☷   ⓘ"
King,"Sorry, that one doesn't seem to be on any of these maps yet."
 Ana Mena,"spanish pop, latin pop   ☷   ⓘ"
 Zion,"reggaeton, latin hip hop, urbano latino, reggaeton flow   ☷   ⓘ"
Migos,"rap, atl hip hop, trap, hip hop, pop rap   ☷   ⓘ"
 Enrique Iglesias,"mexican pop, latin pop   ☷   ⓘ"
 On ,"Sorry, that one doesn't seem to be on any of these maps yet."
 Young Thug,"rap, melodic rap, trap, atl hip hop, atl trap, southern hip hop, pop rap, gangster rap, hip hop   ☷   ⓘ"
 Machine Gun Kelly,"ohio hip hop, pop rap, pop   ☷   ⓘ"
 Michael Jackson,"soul, r&b, pop   ☷   ⓘ"
 Joel Corry,"uk dance, pop dance, tropical house, dance pop, edm, pop   ☷   ⓘ"
Zacari,gqom   ☷   ⓘ
 Marshmello,"brostep, pop, progressive electro house, edm, pop dance, dance pop   ☷   ⓘ"
CKay,afro r&b   ☷   ⓘ
MC Loma e As G,"Sorry, that one doesn't seem to be on any of these maps yet."
Perry Como,"adult standards, easy listening, vocal jazz   ☷   ⓘ"
 Syd,"alternative r&b, lgbtq+ hip hop, indie r&b, indie soul, r&b   ☷   ⓘ"
 Hwa Sa,"korean mask singer, k-pop   ☷   ⓘ"
Bruno Mars,"pop, dance pop   ☷   ⓘ"
 Metro Boomin,"rap, trap   ☷   ⓘ"
Ultimo,"italian pop, italian adult pop   ☷   ⓘ"
V,"Sorry, that one doesn't seem to be on any of these maps yet."
 Ant Clemons,"Related artists in: indie r&b, trap soul, alternative r&b, pop r&b, chill r&b, r&b, canadian contemporary r&b, indie soul, underground hip hop   ☷   ⓘ"
Felipe Amorim,"arrocha, arrochadeira   ☷   ⓘ"
 MC Bruninho,"batidao romantico, pop teen brasileiro, brega romantico, brega funk, funk carioca   ☷   ⓘ"
Maite Perroni,"mexican pop, latin pop   ☷   ⓘ"
 Rey Soul,soulful house   ☷   ⓘ
Kelly Clarkson,"dance pop, pop, post-teen pop, talent show   ☷   ⓘ"
 Diddy,"pop rap, hip hop, east coast hip hop, hip pop, rap, r&b, dance pop   ☷   ⓘ"
 Judah,"Sorry, that one doesn't seem to be on any of these maps yet."
 Aitch,manchester hip hop   ☷   ⓘ
 DJ Henrique da VK,funk 150 bpm   ☷   ⓘ
 SDM,"pop urbaine, french hip hop, rap francais   ☷   ⓘ"
Blxst,pop rap   ☷   ⓘ
 Felix Snow,"Related artists in: pop edm, electropop, indie poptimism, pop, indie electropop, vapor twitch, dance pop, pop rap, post-teen pop, alt z   ☷   ⓘ"
 Juhn,"trap latino, reggaeton flow, urbano latino, reggaeton   ☷   ⓘ"
Cheat Codes,"pop, pop dance, tropical house, edm, dance pop, electropop, electro house, pop edm, post-teen pop   ☷   ⓘ"
Ray Parker Jr,"Sorry, that one doesn't seem to be on any of these maps yet."
BIGBANG,"k-pop, k-pop boy group   ☷   ⓘ"
Bazzi,"pop, dance pop, electropop   ☷   ⓘ"
Aaron Smith,chicago house   ☷   ⓘ
 Boney M,"Sorry, that one doesn't seem to be on any of these maps yet."
Marc Anthony,"tropical, modern salsa, latin pop, salsa   ☷   ⓘ"
Joji,viral pop   ☷   ⓘ
 Cent,"Related artists in: idol rock, alt-idol, anime   ☷   ⓘ"
 Justin Timberlake,"dance pop, pop   ☷   ⓘ"
 Ken Darby Singers,"Related artists in: vintage broadway, vintage hollywood   ☷   ⓘ"
Mason Ramsey,"contemporary country, country   ☷   ⓘ"
 P,"Sorry, that one doesn't seem to be on any of these maps yet."
 Teo,Related artists in: focus beats   ☷   ⓘ
Rauw Alejandro,"puerto rican pop, trap latino, urbano latino   ☷   ⓘ"
upreme,"Sorry, that one doesn't seem to be on any of these maps yet."
 Trippie Redd,"melodic rap, rap, trap   ☷   ⓘ"
Alessia Cara,"pop, canadian pop, canadian contemporary r&b, post-teen pop, dance pop   ☷   ⓘ"
DENNIS,"funk das antigas, funk carioca   ☷   ⓘ"
 Bea Miller,"pop, alt z, talent show, post-teen pop, electropop, indie poptimism, dance pop   ☷   ⓘ"
 Ape Drums,"Related artists in: electronic trap, bass trap, electro house, edm, brostep, moombahton, pop dance, bmore, vapor twitch   ☷   ⓘ"
 Sch,"rap marseille, pop urbaine, french hip hop   ☷   ⓘ"
Eurythmics,"dance rock, new wave pop, sophisti-pop, new romantic, synthpop, new wave, soft rock, mellow gold, art rock, europop   ☷   ⓘ"
 Pabllo Vittar,"funk pop, pop nacional, pop lgbtq+ brasileira, funk carioca, dance pop, pop   ☷   ⓘ"
an,"Sorry, that one doesn't seem to be on any of these maps yet."
Gwen Stefani,"dance pop, pop, post-teen pop   ☷   ⓘ"
 Jhay Cortez,"trap latino, urbano latino, reggaeton flow, reggaeton   ☷   ⓘ"
 Jaira Burns,"alt z, electropop, indie poptimism, post-teen pop, pop   ☷   ⓘ"
MC MM,"funk consciente, funk carioca, funk paulista, funk ostentacao   ☷   ⓘ"
 Noriel,"trap latino, urbano latino, reggaeton flow, reggaeton, latin hip hop   ☷   ⓘ"
rez,"persian hip hop, persian alternative   ☷   ⓘ"
 Bruno ,albanian pop   ☷   ⓘ
 Mikky Ekko,nashville indie   ☷   ⓘ
C,"Sorry, that one doesn't seem to be on any of these maps yet."
 Lauren Jauregui,"post-teen pop, r&b, pop   ☷   ⓘ"
Mc Poze do Rodo,funk carioca   ☷   ⓘ
 Dan Reynolds,"Related artists in: modern alternative rock, modern rock, pop rock, indie poptimism, rock, bossbeat, rebel blues, indiecoustica, pop   ☷   ⓘ"
Capo Plaza,"trap italiana, italian hip hop   ☷   ⓘ"
Lil Baby,"atl trap, atl hip hop, rap, trap   ☷   ⓘ"
Tom Grennan,"tropical house, dance pop   ☷   ⓘ"
Ezhel,"turkish trap, turkish hip hop   ☷   ⓘ"
Nevada,eurodance   ☷   ⓘ
Pamungkas,indonesian singer-songwriter   ☷   ⓘ
 DJ KOSTA ,"Sorry, that one doesn't seem to be on any of these maps yet."
 Dj Yo,"Sorry, that one doesn't seem to be on any of these maps yet."
 Dewain Whitmore,"Sorry, that one doesn't seem to be on any of these maps yet."
K CAMP,"trap, atl hip hop, pop rap, rap, melodic rap, southern hip hop, pop r&b, viral rap, r&b, hip hop   ☷   ⓘ"
 Bon Iver,"eau claire indie, melancholia, indie folk   ☷   ⓘ"
Foo Fighters,"permanent wave, rock, post-grunge, alternative rock, alternative metal, modern rock   ☷   ⓘ"
Costa Gold,"trap brasileiro, brazilian hip hop   ☷   ⓘ"
 Cherish,"girl group, hip pop, urban contemporary, r&b, atl hip hop, southern hip hop, dance pop   ☷   ⓘ"
 Keala Settle,"hollywood, show tunes, broadway   ☷   ⓘ"
NOTD,"pop, tropical house, electropop, pop dance, dance pop, edm, alt z, pop edm, post-teen pop   ☷   ⓘ"
Swedish House Mafia,"edm, pop dance, progressive electro house, dance pop, electro house, pop   ☷   ⓘ"
 Daniel Everidge,show tunes   ☷   ⓘ
KHEA,"trap triste, argentine hip hop, trap argentino, trap latino, urbano latino   ☷   ⓘ"
 KAROL G,"reggaeton colombiano, reggaeton, urbano latino   ☷   ⓘ"
 NGEE,"german hip hop, german underground rap   ☷   ⓘ"
AP Ferg,"Sorry, that one doesn't seem to be on any of these maps yet."
 Farid Bang,german hip hop   ☷   ⓘ
DJ Matt D,"funk consciente, funk carioca, funk ostentacao, funk mtg   ☷   ⓘ"
sangiovanni,italian pop   ☷   ⓘ
 Smokepurpp,"melodic rap, miami hip hop, vapor trap, underground hip hop, viral rap, rap, trap, dark trap, southern hip hop   ☷   ⓘ"
 Liam Payne,"pop, post-teen pop, dance pop   ☷   ⓘ"
 Skizzy Mars,"indie pop rap, pop rap, underground hip hop   ☷   ⓘ"
 Wolftyla,trap queen   ☷   ⓘ
 Vegas,greek pop   ☷   ⓘ
 Mambo Kingz,reggaeton flow   ☷   ⓘ
 Anitta,"funk pop, pop nacional, pagode baiano, pop   ☷   ⓘ"
 DRAM,"virginia hip hop, rap, underground hip hop, pop rap   ☷   ⓘ"
 Juice WRLD,"melodic rap, chicago rap   ☷   ⓘ"
 Nightcrawlers,"hip house, vocal house, disco house   ☷   ⓘ"
 LUM,"organic electronic, ethnotronica, organic house   ☷   ⓘ"
RealestK,"Related artists in: chill r&b, indie r&b, r&b, alternative r&b, trap soul, pop, bedroom soul, pop r&b   ☷   ⓘ"
 Jaden,"rap, pop   ☷   ⓘ"
Ski Mask The Slump God,"miami hip hop, rap   ☷   ⓘ"
Os Bar,"Sorry, that one doesn't seem to be on any of these maps yet."
 Richard O,"Sorry, that one doesn't seem to be on any of these maps yet."
 Dani Faiv,italian hip hop   ☷   ⓘ
Wham,"Related artists in: disco, post-disco, deep house, nu disco, vocal house, balearic, funky house   ☷   ⓘ"
CRO,"Sorry, that one doesn't seem to be on any of these maps yet."
Hayley Williams,"art pop, indie pop   ☷   ⓘ"
 Oruam,funk carioca   ☷   ⓘ
San Holo,"future bass, vapor twitch, edm, electronic trap, electropop, pop dance, pop edm, electro house   ☷   ⓘ"
Lou Monte,novelty   ☷   ⓘ
s Child,"Sorry, that one doesn't seem to be on any of these maps yet."
Band Aid ,musical advocacy   ☷   ⓘ
Big Sean,"rap, pop rap, detroit hip hop, trap, southern hip hop, hip hop, pop   ☷   ⓘ"
sa Sonza,louvor   ☷   ⓘ
Charlie Puth,"pop, viral pop, dance pop   ☷   ⓘ"
 Martin Garrix,"dutch edm, pop dance, edm, pop, tropical house, progressive house, dance pop, electro house   ☷   ⓘ"
 Dr,"Sorry, that one doesn't seem to be on any of these maps yet."
 DAISY WORLD,"Related artists in: indie r&b, alternative r&b, indie soul, bedroom pop, indie pop, chill r&b, escape room   ☷   ⓘ"
 Logic,"dmv rap, conscious hip hop, rap, pop rap, hip hop   ☷   ⓘ"
 Taylor Swift,pop   ☷   ⓘ
 Chicago Children,"Sorry, that one doesn't seem to be on any of these maps yet."
Megan Thee Stallion,"trap queen, houston rap, pop, rap, dance pop   ☷   ⓘ"
 Ana Castela,sertanejo pop   ☷   ⓘ
 James Gillespie,uk pop   ☷   ⓘ
D,"Sorry, that one doesn't seem to be on any of these maps yet."
Dean Lewis,"australian pop, pop   ☷   ⓘ"
Astrid S,"pop, norwegian pop, alt z, tropical house, dance pop   ☷   ⓘ"
 Ghostface Killah,"hip hop, east coast hip hop, hardcore hip hop, alternative hip hop, gangster rap, southern hip hop, rap   ☷   ⓘ"
Backstreet Boys,"boy band, dance pop   ☷   ⓘ"
 La H,"Sorry, that one doesn't seem to be on any of these maps yet."
 NATHY PELUSO,"rap latina, r&b en espanol   ☷   ⓘ"
Calboy,"melodic rap, chicago rap, trap, vapor trap, pop rap, rap   ☷   ⓘ"
iann dior,"melodic rap, pop rap, pop   ☷   ⓘ"
I,"Sorry, that one doesn't seem to be on any of these maps yet."
Steve Lacy,afrofuturism   ☷   ⓘ
Young Stoner Life,"rap, trap, southern hip hop, hip hop   ☷   ⓘ"
o Stronda,"Sorry, that one doesn't seem to be on any of these maps yet."
Olivia Newton,"Sorry, that one doesn't seem to be on any of these maps yet."
Vice,chicano rap   ☷   ⓘ
 Soso Maness,"rap marseille, pop urbaine, french hip hop, rap francais   ☷   ⓘ"
 Mc Lele JP,"funk paulista, funk ostentacao, funk carioca   ☷   ⓘ"
Loud Luxury,"pop dance, tropical house, edm, dance pop, electro house, pop   ☷   ⓘ"
BIA,"trap queen, rap latina, alternative r&b, rap, r&b, viral rap, pop   ☷   ⓘ"
Bebe Rexha,"pop, dance pop, post-teen pop, edm   ☷   ⓘ"
 Fana Hues,"alternative r&b, indie r&b, chill r&b, indie soul   ☷   ⓘ"
 Strick,atl trap   ☷   ⓘ
 Fabri Fibra,"rap napoletano, italian hip hop   ☷   ⓘ"
 Standly,urbano chileno   ☷   ⓘ
Loren Allred,"movie tunes, deep talent show, hollywood   ☷   ⓘ"
Chefin,funk carioca   ☷   ⓘ
 Clipse,"virginia hip hop, hip hop, southern hip hop, alternative hip hop, hardcore hip hop, rap, gangster rap, trap   ☷   ⓘ"
 Tee Grizzley,"rap, trap, detroit trap, detroit hip hop, southern hip hop, pop rap, hip hop   ☷   ⓘ"
Stephen Sanchez,"gen z singer-songwriter, pop   ☷   ⓘ"
 Towkio,chicago rap   ☷   ⓘ
 Kiiara,"electropop, indie poptimism, alt z, pop, post-teen pop, dance pop   ☷   ⓘ"
 Lil Dicky,"comedy rap, pop rap, rap   ☷   ⓘ"
 Giveon,"pop, r&b   ☷   ⓘ"
 Saweetie,"trap queen, pop, dance pop, cali rap, rap   ☷   ⓘ"
Harry Nach,"urbano chileno, trap chileno, urbano latino   ☷   ⓘ"
Beach House,"modern dream pop, baltimore indie, dream pop, dreamo   ☷   ⓘ"
Surfaces,"bedroom soul, pop   ☷   ⓘ"
Ang,"Sorry, that one doesn't seem to be on any of these maps yet."
 RZA,"hardcore hip hop, east coast hip hop, hip hop, alternative hip hop   ☷   ⓘ"
 Katy Perry,"pop, dance pop   ☷   ⓘ"
Joel Adams,"pop soul, australian pop   ☷   ⓘ"
 Mozzik,"kosovan pop, albanian hip hop   ☷   ⓘ"
John Mayer,"neo mellow, singer-songwriter   ☷   ⓘ"
 Dugg,"Sorry, that one doesn't seem to be on any of these maps yet."
Ella Henderson,"uk pop, talent show, pop, dance pop, tropical house, pop dance, post-teen pop   ☷   ⓘ"
 Mack Maine,"Related artists in: pop rap, southern hip hop, trap, dirty south rap, rap, gangster rap, hip hop, atl hip hop, futuristic swag, houston rap   ☷   ⓘ"
Pitbull,"miami hip hop, dance pop, pop rap, pop   ☷   ⓘ"
NAV,"melodic rap, canadian trap, rap, toronto rap, trap, canadian hip hop, hip hop   ☷   ⓘ"
 Sunday Service Choir,"Related artists in: gospel, praise, gospel r&b, contemporary gospel, naija worship   ☷   ⓘ"
Kungs,"tropical house, pop dance, edm   ☷   ⓘ"
 The Crypt,"Sorry, that one doesn't seem to be on any of these maps yet."
Ella Fitzgerald,"jazz blues, adult standards, vocal jazz, swing   ☷   ⓘ"
 SoFaygo,"plugg, vapor trap, glitchcore, trap, rap   ☷   ⓘ"
 Nyla,Related artists in: lounge house   ☷   ⓘ
 Maiara ,"Sorry, that one doesn't seem to be on any of these maps yet."
Teto,trap baiano   ☷   ⓘ
 Zoe Nash,la pop   ☷   ⓘ
 Tangana,"Sorry, that one doesn't seem to be on any of these maps yet."
 Lil Durk,"drill, chicago drill, chicago rap, trap, rap, hip hop   ☷   ⓘ"
Gabry Ponte,"slap house, italo dance, pop dance, eurodance, tropical house, edm   ☷   ⓘ"
THE SCOTTS,"Related artists in: fake, nz pop   ☷   ⓘ"
Ti,serbian indie   ☷   ⓘ
 Dala,pop urbaine   ☷   ⓘ
Alex Rose,"trap latino, urbano latino, reggaeton, reggaeton flow   ☷   ⓘ"
 Kay Flock,"bronx drill, new york drill, melodic drill   ☷   ⓘ"
 Dj GBR,"rave funk, funk carioca, funk mtg   ☷   ⓘ"
 Carin Leon,"sierreno, sad sierreno, nueva musica mexicana, corrido, musica mexicana   ☷   ⓘ"
 Kendo Kaponi,"reggaeton flow, trap latino, latin hip hop, reggaeton, urbano latino   ☷   ⓘ"
 Demi Lovato,"pop, post-teen pop, dance pop   ☷   ⓘ"
Steve Aoki,"edm, electro house, pop dance, dance pop, tropical house, pop rap   ☷   ⓘ"
Soundgarden,"grunge, rock, alternative rock, alternative metal, nu metal, hard rock   ☷   ⓘ"
 The Andrews Sisters,"vocal harmony group, torch song, adult standards, lounge, vocal jazz   ☷   ⓘ"
 teddy,emo rap   ☷   ⓘ
Shouse,"aussietronica, pop dance, tropical house, edm   ☷   ⓘ"
Madison Beer,"pop, post-teen pop, dance pop, alt z   ☷   ⓘ"
DVBBS,"pop dance, edm, canadian electronic, electro house, slap house, tropical house, progressive electro house, pop edm, dance pop, pop   ☷   ⓘ"
 Roger,funk   ☷   ⓘ
 Ferrugem,pagode   ☷   ⓘ
Justin Bieber,"canadian pop, pop   ☷   ⓘ"
 Macloud,"Sorry, that one doesn't seem to be on any of these maps yet."
Fleetwood Mac,"yacht rock, album rock, classic rock, soft rock, rock   ☷   ⓘ"
 Mora,"trap latino, urbano latino   ☷   ⓘ"
 Anah,"Sorry, that one doesn't seem to be on any of these maps yet."
Sofia Reyes,"Related artists in: reggaeton, reggaeton colombiano, urbano latino   ☷   ⓘ"
M ,"Sorry, that one doesn't seem to be on any of these maps yet."
 The Blessed Madonna,"Related artists in: float house, electronica, deep house, alternative dance, lo-fi house, indie soul, microhouse, new rave   ☷   ⓘ"
 Nemir,"rap calme, french hip hop, pop urbaine   ☷   ⓘ"
 Damso,"rap conscient, rap belge, belgian hip hop, pop urbaine, french hip hop   ☷   ⓘ"
Ed Sheeran,"uk pop, pop   ☷   ⓘ"
 Sodr,"Sorry, that one doesn't seem to be on any of these maps yet."
 Bryant Myers,"trap latino, urbano latino, reggaeton, reggaeton flow, latin hip hop   ☷   ⓘ"
enfoir,"Sorry, that one doesn't seem to be on any of these maps yet."
Harry Styles,pop   ☷   ⓘ
 The Flint Chozen Choir,"Related artists in: alternative hip hop, conscious hip hop, hip hop, psychedelic hip hop, rap, southern hip hop, underground hip hop   ☷   ⓘ"
Nicky Jam,"reggaeton, latin hip hop, urbano latino   ☷   ⓘ"
 Kenny G,"smooth saxophone, smooth jazz   ☷   ⓘ"
Sofia Carson,"post-teen pop, pop   ☷   ⓘ"
 Morat,colombian pop   ☷   ⓘ
 Almighty,"trap latino, reggaeton flow, urbano latino, reggaeton   ☷   ⓘ"
 Lil Tjay,"brooklyn drill, melodic rap, nyc rap   ☷   ⓘ"
d,"Sorry, that one doesn't seem to be on any of these maps yet."
 Normani,"post-teen pop, pop, dance pop, r&b, urban contemporary, rap   ☷   ⓘ"
Daniel Caesar,"canadian contemporary r&b, pop, r&b   ☷   ⓘ"
 Cook,"Sorry, that one doesn't seem to be on any of these maps yet."
 Ella Henderson,"uk pop, talent show, pop, dance pop, tropical house, pop dance, post-teen pop   ☷   ⓘ"
AURORA,"art pop, norwegian pop   ☷   ⓘ"
 Russ Millions,"melodic drill, uk drill   ☷   ⓘ"
Grupo Marca Registrada,"sad sierreno, norteno, nueva musica mexicana, corrido   ☷   ⓘ"
Kings Horns,"Sorry, that one doesn't seem to be on any of these maps yet."
 Vula,Related artists in: neo soul-jazz   ☷   ⓘ
 BEAM,trap soul   ☷   ⓘ
 Lexa,"funk pop, pop nacional, funk carioca, pop lgbtq+ brasileira   ☷   ⓘ"
 Rvssian,"trap latino, urbano latino, reggaeton, reggaeton flow, latin hip hop   ☷   ⓘ"
Leslie Grace,"bachata, show tunes, hollywood   ☷   ⓘ"
The Rare Occasions,la indie   ☷   ⓘ
 Ufo,"hard rock, album rock, rock, metal, blues rock, classic rock, glam metal, psychedelic rock   ☷   ⓘ"
 NOTD,"pop, tropical house, electropop, pop dance, dance pop, edm, alt z, pop edm, post-teen pop   ☷   ⓘ"
NF,"pop rap, rap, hip hop   ☷   ⓘ"
 PARTYNEXTDOOR,"toronto rap, rap, r&b, trap, urban contemporary, pop   ☷   ⓘ"
 Kauan,"russian post-rock, russian metal, ambient post-rock, russian folk metal, rune folk, doom metal   ☷   ⓘ"
 Migos,"rap, atl hip hop, trap, hip hop, pop rap   ☷   ⓘ"
kGoldn,monterrey indie   ☷   ⓘ
 Heuss L,"Sorry, that one doesn't seem to be on any of these maps yet."
 Juanka,"reggaeton flow, trap latino, urbano latino, reggaeton   ☷   ⓘ"
 MistaJam,"house, deep groove house   ☷   ⓘ"
 Z,"Sorry, that one doesn't seem to be on any of these maps yet."
 Tove Lo,"pop, swedish electropop, electropop, dance pop, metropopolis, swedish synthpop, swedish pop   ☷   ⓘ"
John Lundvik,swedish pop   ☷   ⓘ
 Mar,"Sorry, that one doesn't seem to be on any of these maps yet."
 Rodrigo,"cuarteto, cumbia villera, argentine rock, rock en espanol   ☷   ⓘ"
IU,k-pop   ☷   ⓘ
 Evlay,"Related artists in: argentine indie, argentine alternative rock, electronica argentina, argentine jazz, argentine rock, latin rock, manso indie, trap argentino   ☷   ⓘ"
Ariana Grande,"pop, dance pop   ☷   ⓘ"
es Da Pisadinha,piseiro   ☷   ⓘ
 DannyLux,"sad sierreno, corridos tumbados, nueva musica mexicana   ☷   ⓘ"
 ZAAC,"funk carioca, funk pop   ☷   ⓘ"
 Afro Bros,"basshall, dutch house, dutch rap pop, dutch hip hop   ☷   ⓘ"
 Louis Prima,"jump blues, adult standards, swing, lounge, vocal jazz   ☷   ⓘ"
 Lil Kleine,"dutch hip hop, dutch rap pop   ☷   ⓘ"
KASIMIR,Related artists in: lo-fi jazzhop   ☷   ⓘ
 Chad Smith,rock drums   ☷   ⓘ
Rudimental,"uk dance, uk funky, tropical house, dance pop, house, pop dance, edm, pop   ☷   ⓘ"
Tay,"Sorry, that one doesn't seem to be on any of these maps yet."
KALIM,"german hip hop, hamburg hip hop, german trap   ☷   ⓘ"
Mobb Deep,"queens hip hop, hip hop, hardcore hip hop, gangster rap, east coast hip hop, rap   ☷   ⓘ"
Nick Jonas,"pop, dance pop, post-teen pop, edm   ☷   ⓘ"
Alec Benjamin,"electropop, pop, alt z   ☷   ⓘ"
 Gigi D,"Sorry, that one doesn't seem to be on any of these maps yet."
Tee Grizzley,"rap, trap, detroit trap, detroit hip hop, southern hip hop, pop rap, hip hop   ☷   ⓘ"
La Adictiva,"banda, musica mexicana, ranchera, nueva musica mexicana   ☷   ⓘ"
 Massimo Pericolo,"trap metal italiana, italian hip hop   ☷   ⓘ"
 Wiz Khalifa,"pittsburgh rap, rap, pop rap, southern hip hop, trap, hip hop, dance pop   ☷   ⓘ"
siouxxie sixxsta,"sped up, viral rap, glitchcore, hyperpop   ☷   ⓘ"
Pabllo Vittar,"funk pop, pop nacional, pop lgbtq+ brasileira, funk carioca, dance pop, pop   ☷   ⓘ"
Alexander ,"Sorry, that one doesn't seem to be on any of these maps yet."
sio do Acordeon,capoeira   ☷   ⓘ
Manuel Turizo,"reggaeton colombiano, colombian pop, reggaeton, urbano latino   ☷   ⓘ"
 Organis,"Sorry, that one doesn't seem to be on any of these maps yet."
bbno,"Sorry, that one doesn't seem to be on any of these maps yet."
 Rhenzy Feliz,"Sorry, that one doesn't seem to be on any of these maps yet."
 King Khalil,"german hip hop, german underground rap, deep german hip hop   ☷   ⓘ"
George Henrique ,"Sorry, that one doesn't seem to be on any of these maps yet."
Russ Millions,"melodic drill, uk drill   ☷   ⓘ"
 Fire,bedroom pop   ☷   ⓘ
 Morray,pop rap   ☷   ⓘ
 Raekwon,"hip hop, hardcore hip hop, east coast hip hop, gangster rap, alternative hip hop, rap   ☷   ⓘ"
Sefo,turkish trap   ☷   ⓘ
Gym Class Heroes,"pop rap, dance pop   ☷   ⓘ"
 Troye Sivan,"pop, viral pop, australian pop, dance pop   ☷   ⓘ"
