autor,estilo
 Sasha Alex Sloan,"pop, alt z, electropop, post-teen pop   ☷   ⓘ"
 Imagine Dragons,"modern rock, rock   ☷   ⓘ"
Cults,"indie surf, experimental pop, indie pop   ☷   ⓘ"
Usher,"south carolina hip hop, dance pop, atl hip hop, urban contemporary, contemporary r&b, r&b, pop   ☷   ⓘ"
 Ed Maverick,"chihuahua indie, indie triste, mexican indie   ☷   ⓘ"
 Myd,"filter house, french indietronica, new french touch, french indie pop   ☷   ⓘ"
Coldplay,"permanent wave, pop   ☷   ⓘ"
 Dagny,"norwegian pop, electropop, tropical house   ☷   ⓘ"
Guaynaa,"perreo, reggaeton, reggaeton flow   ☷   ⓘ"
 CVBZ,"tropical house, pop dance, pop edm, electropop, edm, pop   ☷   ⓘ"
Tyla Yaweh,"melodic rap, pop rap, trap, cali rap, rap, pop   ☷   ⓘ"
 Baby Rasta,"latin hip hop, reggaeton, reggaeton flow, trap latino   ☷   ⓘ"
Fuego,"reggaeton, trap latino, latin hip hop, rap dominicano, dominican pop, reggaeton flow   ☷   ⓘ"
 Bass Santana,"miami hip hop, underground hip hop, dark trap, vapor trap   ☷   ⓘ"
 Travis Barker,rap rock   ☷   ⓘ
 Lagola,"Sorry, that one doesn't seem to be on any of these maps yet."
Alesso,"pop dance, edm, tropical house, pop, dance pop, electro house   ☷   ⓘ"
BTS,"k-pop boy group, k-pop   ☷   ⓘ"
 Hight,uk dance   ☷   ⓘ
Michael Jackson,"soul, r&b, pop   ☷   ⓘ"
Nicki Nicole,"r&b argentino, argentine hip hop, trap argentino, trap latino   ☷   ⓘ"
 ScHoolboy Q,"rap, hip hop, pop rap, trap, southern hip hop, underground hip hop, gangster rap   ☷   ⓘ"
 Future,"rap, atl hip hop, trap, southern hip hop, hip hop   ☷   ⓘ"
 Fabolous,"pop rap, rap, hip hop, gangster rap, trap, hip pop, urban contemporary, r&b, dance pop   ☷   ⓘ"
 Mez,north carolina hip hop   ☷   ⓘ
 BYOR,russian edm   ☷   ⓘ
Michael Schulte,"tvog, german pop   ☷   ⓘ"
Jo,"Sorry, that one doesn't seem to be on any of these maps yet."
 Bruno Martini,"pop nacional, brazilian edm   ☷   ⓘ"
JP Cooper,"neo mellow, tropical house, pop, dance pop   ☷   ⓘ"
Tones And I,"australian pop, pop   ☷   ⓘ"
Young T ,"Related artists in: deep southern trap, dfw rap   ☷   ⓘ"
Travis Scott,"rap, slap house   ☷   ⓘ"
Seafret,"folk-pop, pop   ☷   ⓘ"
 Curren,"Sorry, that one doesn't seem to be on any of these maps yet."
 YBN Nahmir,"viral rap, alabama rap, vapor trap, trap, rap, underground hip hop   ☷   ⓘ"
 Connie Constance,uk contemporary r&b   ☷   ⓘ
 Daddy Yankee,"reggaeton, latin hip hop, urbano latino   ☷   ⓘ"
 Jonas Blue,"tropical house, pop, pop dance, uk dance, dance pop, edm   ☷   ⓘ"
o Gomes,"Sorry, that one doesn't seem to be on any of these maps yet."
 Reginae Carter,"Sorry, that one doesn't seem to be on any of these maps yet."
Emmy Meli,high vibe   ☷   ⓘ
hope,mgp   ☷   ⓘ
Aaron Carter,"post-teen pop, dance pop   ☷   ⓘ"
Israel ,"Related artists in: canadian pop, urban contemporary   ☷   ⓘ"
Belly,"canadian trap, rap, canadian hip hop, trap, pop rap   ☷   ⓘ"
 Gaby Music,pop reggaeton   ☷   ⓘ
 SZA,"pop, r&b, rap   ☷   ⓘ"
The Pogues,"celtic rock, folk punk, celtic punk, punk   ☷   ⓘ"
PnB Rock,"melodic rap, rap, trap, pop rap, pop   ☷   ⓘ"
 AJ Tracey,"ukg revival, grime, uk hip hop   ☷   ⓘ"
x,"early us punk, punk, post-punk, hardcore punk, alternative rock, punk blues, pub rock, new wave   ☷   ⓘ"
 Sebastian Yatra,"reggaeton colombiano, colombian pop   ☷   ⓘ"
 Preme,"canadian trap, toronto rap, canadian hip hop, trap soul, trap, pop rap   ☷   ⓘ"
Calum Scott,"pop, neo mellow   ☷   ⓘ"
 Topic,"german dance, pop dance, tropical house, edm, dance pop, pop edm, electro house   ☷   ⓘ"
 Dakota,"Related artists in: progressive house, progressive trance, trance, uplifting trance, dutch trance, dance pop, edm, electro house, pop, pop dance   ☷   ⓘ"
nk,ukrainian pop   ☷   ⓘ
 FKA twigs,"experimental r&b, afrofuturism, art pop, escape room, alternative r&b, trip hop, pop   ☷   ⓘ"
 Cash Cash,"edm, pop dance, electropowerpop, tropical house, pop edm, electro house, dance pop, electropop, pop   ☷   ⓘ"
 Era Istrefi,"kosovan pop, albanian hip hop   ☷   ⓘ"
 Social House,pop   ☷   ⓘ
 DJ Bel da CDD,"Sorry, that one doesn't seem to be on any of these maps yet."
Mike Perry,"tropical house, swedish tropical house, pop dance, edm, pop edm, dance pop, pop, electro house   ☷   ⓘ"
 Lil Peep,"lgbtq+ hip hop, emo rap   ☷   ⓘ"
TOTO,"soft rock, yacht rock, album rock, mellow gold, classic rock, rock   ☷   ⓘ"
Hwa Sa,"korean mask singer, k-pop   ☷   ⓘ"
 Rebecca,"funk 150 bpm, funk carioca, pop lgbtq+ brasileira   ☷   ⓘ"
Damso,"rap conscient, rap belge, belgian hip hop, pop urbaine, french hip hop   ☷   ⓘ"
 NAV,"melodic rap, canadian trap, rap, toronto rap, trap, canadian hip hop, hip hop   ☷   ⓘ"
 Emma Stone,hollywood   ☷   ⓘ
Madame,"italian pop, trap italiana, italian hip hop   ☷   ⓘ"
NCT DREAM,"k-pop boy group, k-pop   ☷   ⓘ"
SZA,"pop, r&b, rap   ☷   ⓘ"
 TATOOL,"Sorry, that one doesn't seem to be on any of these maps yet."
George Ezra,"folk-pop, neo-singer-songwriter   ☷   ⓘ"
 Macklemore,"seattle hip hop, pop rap   ☷   ⓘ"
Dxrk ,"Sorry, that one doesn't seem to be on any of these maps yet."
 Jon Bellion,pop rap   ☷   ⓘ
Alonestar,"Related artists in: edm, pop dance, dance pop, electro house, pop edm, pop, tropical house, uk pop, neo mellow, progressive electro house   ☷   ⓘ"
John Travolta,hollywood   ☷   ⓘ
 Mike Yung,pop soul   ☷   ⓘ
 Alicia Keys,"urban contemporary, neo soul, hip pop, r&b, pop   ☷   ⓘ"
 Brray,"trap latino, urbano latino, reggaeton flow, reggaeton   ☷   ⓘ"
Vance Joy,"folk-pop, pop   ☷   ⓘ"
Liam Payne,"pop, post-teen pop, dance pop   ☷   ⓘ"
 Rina Sawayama,"art pop, electropop, pop, dance pop, post-teen pop   ☷   ⓘ"
 Sandro Cavazza,"swedish pop, tropical house   ☷   ⓘ"
Blanco Brown,"black americana, country rap   ☷   ⓘ"
RIT,french folk pop   ☷   ⓘ
 Romy Dya,dutch pop   ☷   ⓘ
 Young Nudy,"pluggnb, rap, trap, vapor trap, viral rap, hip hop   ☷   ⓘ"
GAYLE,modern alternative pop   ☷   ⓘ
Mert Demir,turkish alt pop   ☷   ⓘ
 VIZE,"german dance, slap house, pop dance, tropical house, dance pop, edm   ☷   ⓘ"
 CHVRCHES,"metropopolis, shimmer pop, electropop, neo-synthpop   ☷   ⓘ"
MC JottaP,"Sorry, that one doesn't seem to be on any of these maps yet."
 ZAYN,"pop, uk pop, post-teen pop, dance pop   ☷   ⓘ"
 LANY,"pop, la pop   ☷   ⓘ"
 Belly,"canadian trap, rap, canadian hip hop, trap, pop rap   ☷   ⓘ"
 Jonas Brothers,"pop, post-teen pop, boy band, dance pop   ☷   ⓘ"
 Khalid,"pop, pop r&b   ☷   ⓘ"
Cliff Richard,"classic uk pop, adult standards, rock-and-roll, soft rock, bubblegum pop, new wave pop, mellow gold   ☷   ⓘ"
Gaullin,"lithuanian electronic, lithuanian edm, pop dance, tropical house, edm   ☷   ⓘ"
 James Fauntleroy,"Related artists in: indie r&b, alternative r&b, chill r&b, r&b, indie soul, neo soul, pop r&b, trap soul, neo r&b   ☷   ⓘ"
 Gente De Zona,"cubaton, latin hip hop, latin pop, urbano latino   ☷   ⓘ"
 Bryson Tiller,"kentucky hip hop, rap, r&b, trap, pop   ☷   ⓘ"
MKTO,"pop, post-teen pop, dance pop, pop rap, pop rock   ☷   ⓘ"
 Hook N Sling,australian dance   ☷   ⓘ
 Digital Farm Animals,uk dance   ☷   ⓘ
 Jhayco,"trap latino, urbano latino, reggaeton   ☷   ⓘ"
 B,"Sorry, that one doesn't seem to be on any of these maps yet."
Earth,"drone metal, gaian doom, dark jazz, post-metal, doom metal, post-doom metal, olympia wa indie, drone, instrumental rock   ☷   ⓘ"
G,"Sorry, that one doesn't seem to be on any of these maps yet."
 Belinda,"latin arena pop, mexican pop, latin pop, dance pop, post-teen pop, pop   ☷   ⓘ"
Luciano,german drill   ☷   ⓘ
TINI,"pop argentino, latin pop   ☷   ⓘ"
Jorge ,"Sorry, that one doesn't seem to be on any of these maps yet."
rcia Fellipe,"Related artists in: brazilian edm, brazilian tech house   ☷   ⓘ"
thasup,"trap italiana, italian pop, italian hip hop   ☷   ⓘ"
Ashley O,"Related artists in: electropop, dance pop, pop, strut, escape room, post-teen pop, hyperpop, metropopolis, pink noise, art pop   ☷   ⓘ"
 GRiNGO,"german hip hop, german underground rap, latin hip hop, reggaeton   ☷   ⓘ"
Blanche,eurovision   ☷   ⓘ
Ghost,"metal, hard rock   ☷   ⓘ"
 Aitana,"latin talent show, latin pop, spanish pop   ☷   ⓘ"
 Ellie Goulding,"pop, dance pop, uk pop, indietronica, metropopolis, post-teen pop, electropop, edm   ☷   ⓘ"
Lil Mosey,"melodic rap, rap conscient, trap, vapor trap, rap, viral rap   ☷   ⓘ"
Polo G,"chicago rap, rap   ☷   ⓘ"
melo Flow,"Sorry, that one doesn't seem to be on any of these maps yet."
Diego ,"Related artists in: latin pop, latin arena pop, mexican pop, post-teen pop   ☷   ⓘ"
Fat Les,"Related artists in: football, british comedy, comic, fan chant   ☷   ⓘ"
MEDUZA,"pop dance, pop house, edm, tropical house, pop, dance pop, electro house   ☷   ⓘ"
 Olivia O,"Sorry, that one doesn't seem to be on any of these maps yet."
Stan Kenton,"big band, swing   ☷   ⓘ"
 DG e Batid,"Sorry, that one doesn't seem to be on any of these maps yet."
 Loote,"nyc pop, electropop, pop, post-teen pop, pop edm, dance pop, alt z, tropical house, pop dance   ☷   ⓘ"
sto,rap francais nouvelle vague   ☷   ⓘ
 MC Kevinho,"funk pop, funk carioca, arrocha, funk ostentacao   ☷   ⓘ"
 Don Q,nyc rap   ☷   ⓘ
 Valerie Broussard,"modern alternative pop, alt z   ☷   ⓘ"
A,"Sorry, that one doesn't seem to be on any of these maps yet."
Salvador Sobral,portuguese pop   ☷   ⓘ
Shyne,"jewish hip hop, gangster rap, hardcore hip hop, hip pop, southern hip hop, hip hop, pop rap, trap   ☷   ⓘ"
 Chl,"Sorry, that one doesn't seem to be on any of these maps yet."
Edison Lighthouse,bubblegum pop   ☷   ⓘ
Stars Music Chile,"Related artists in: urbano chileno, urbano latino, reggaeton flow, mambo chileno, reggaeton chileno, drill chileno, trap chileno   ☷   ⓘ"
 Jonita Gandhi,modern bollywood   ☷   ⓘ
John,"Sorry, that one doesn't seem to be on any of these maps yet."
 Maldy,"reggaeton flow, reggaeton, latin hip hop   ☷   ⓘ"
 Buddy,"underground hip hop, cali rap   ☷   ⓘ"
Black Eyed Peas,"dance pop, pop rap, pop   ☷   ⓘ"
s Choir,"Sorry, that one doesn't seem to be on any of these maps yet."
 Shander,"Sorry, that one doesn't seem to be on any of these maps yet."
 A Boogie Wit da Hoodie,"melodic rap, rap, trap   ☷   ⓘ"
 MC Lan,"funk carioca, funk mtg   ☷   ⓘ"
dvsn,"canadian contemporary r&b, trap soul, r&b, pop r&b, urban contemporary, pop   ☷   ⓘ"
 Jax Jones,"dance pop, tropical house, pop dance, uk dance, edm, pop, house, pop rap, electro house   ☷   ⓘ"
Mel ,"Sorry, that one doesn't seem to be on any of these maps yet."
Wiz Khalifa,"pittsburgh rap, rap, pop rap, southern hip hop, trap, hip hop, dance pop   ☷   ⓘ"
J Balvin,"reggaeton colombiano, reggaeton, urbano latino   ☷   ⓘ"
 Ronaldo,"Related artists in: carnaval, levenslied, classic dutch pop   ☷   ⓘ"
 Guilherme,"Related artists in: axe, pagode, sertanejo, samba, sertanejo universitario   ☷   ⓘ"
 Keith Urban,"contemporary country, country road, country, australian country, australian pop   ☷   ⓘ"
 SRNO,"dutch rap pop, dutch hip hop   ☷   ⓘ"
 Kawe,"brazilian hip hop, funk ostentacao   ☷   ⓘ"
 Adam Levine,deep talent show   ☷   ⓘ
 Slim Jxmmi,trap   ☷   ⓘ
Hugh Jackman,"hollywood, show tunes   ☷   ⓘ"
SHAED,"electropop, pop   ☷   ⓘ"
Luke Christopher,"indie pop rap, pop rap   ☷   ⓘ"
Joey Bada,"Sorry, that one doesn't seem to be on any of these maps yet."
The Game,"rap, hip hop, gangster rap, pop rap, southern hip hop   ☷   ⓘ"
KEiiNO,"eurovision, norwegian pop   ☷   ⓘ"
 Sophie and the Giants,sheffield indie   ☷   ⓘ
 Baby Keem,"rap, hip hop   ☷   ⓘ"
Offset,"rap, atl hip hop, trap, pop rap, southern hip hop, hip hop, viral rap   ☷   ⓘ"
 Max B,trap   ☷   ⓘ
Ana Castela,sertanejo pop   ☷   ⓘ
 Alico,"Sorry, that one doesn't seem to be on any of these maps yet."
Regard,"slap house, tropical house, pop dance, edm, dance pop, pop edm, pop, electro house   ☷   ⓘ"
 DJ Nelson,"reggaeton, latin hip hop, urbano latino, reggaeton flow   ☷   ⓘ"
Beach Weather,modern rock   ☷   ⓘ
 badm,"Sorry, that one doesn't seem to be on any of these maps yet."
 Tropkillaz,"afrofuturismo brasileiro, pop nacional, bass trap, electronic trap, funk carioca   ☷   ⓘ"
 ROBI,urbano latino   ☷   ⓘ
 N,"Sorry, that one doesn't seem to be on any of these maps yet."
 Manuel Turizo,"reggaeton colombiano, colombian pop, reggaeton, urbano latino   ☷   ⓘ"
 YOVNGCHIMI,"trap latino, urbano latino, reggaeton flow   ☷   ⓘ"
 Feid,"reggaeton colombiano, colombian pop, pop reggaeton, urbano latino   ☷   ⓘ"
ign,"Sorry, that one doesn't seem to be on any of these maps yet."
 Sosamann,"atl trap, memphis hip hop, houston rap, vapor trap   ☷   ⓘ"
 Niska,"pop urbaine, french hip hop   ☷   ⓘ"
 Timefall,"Sorry, that one doesn't seem to be on any of these maps yet."
Anitta,"funk pop, pop nacional, pagode baiano, pop   ☷   ⓘ"
 Tati Zaqui,funk carioca   ☷   ⓘ
 C,"Sorry, that one doesn't seem to be on any of these maps yet."
Kali Uchis,"colombian pop, pop   ☷   ⓘ"
 Kris Kross Amsterdam,"dutch house, dutch pop   ☷   ⓘ"
 Jessie Reyez,"canadian contemporary r&b, canadian pop, pop, r&b   ☷   ⓘ"
 Matheus Fernandes,"arrocha, forro, sertanejo pop   ☷   ⓘ"
Dayvi,"guaracha, circuit, perreo   ☷   ⓘ"
 blackbear,"pop, pop rap   ☷   ⓘ"
 TroyBoi,"electronic trap, bass trap, edm, electro house   ☷   ⓘ"
 At The Disco,"Sorry, that one doesn't seem to be on any of these maps yet."
Sean Paul,"dance pop, pop rap, dancehall   ☷   ⓘ"
Bass Santana,"miami hip hop, underground hip hop, dark trap, vapor trap   ☷   ⓘ"
 Romy,"modern bollywood, desi pop   ☷   ⓘ"
 Stormzy,"grime, uk hip hop   ☷   ⓘ"
 Maxo Kream,"underground hip hop, melodic rap, rap, trap, vapor trap, houston rap, southern hip hop, hip hop   ☷   ⓘ"
 Mateus,"Sorry, that one doesn't seem to be on any of these maps yet."
 Roses,focus beats   ☷   ⓘ
 Fivio Foreign,"brooklyn drill, new york drill, rap, trap   ☷   ⓘ"
B,"Sorry, that one doesn't seem to be on any of these maps yet."
 Lightning Seeds,"Sorry, that one doesn't seem to be on any of these maps yet."
 Numidia,"rif, dutch rap pop   ☷   ⓘ"
The Beach Boys,"baroque pop, sunshine pop, psychedelic rock, classic rock, rock   ☷   ⓘ"
 Rodolffo,"Sorry, that one doesn't seem to be on any of these maps yet."
Joel Corry,"uk dance, pop dance, tropical house, dance pop, edm, pop   ☷   ⓘ"
 Quintino,"dutch house, slap house, dutch edm, electro house, edm, pop dance, progressive electro house   ☷   ⓘ"
The Cratez,german hip hop   ☷   ⓘ
Pain,"neue deutsche harte, industrial metal, metal   ☷   ⓘ"
 Babes Wodumo,gqom   ☷   ⓘ
low,"melancholia, slowcore, duluth indie, dream pop, art pop, indie rock, chamber psych, alternative rock, singer-songwriter   ☷   ⓘ"
 Chimbala,"dembow, rap dominicano, dominican pop, urbano latino   ☷   ⓘ"
 Rik Rok,reggae fusion   ☷   ⓘ
 B Praak,"desi pop, punjabi pop   ☷   ⓘ"
 Kofs,"rap marseille, pop urbaine, rap francais, french hip hop, francoton   ☷   ⓘ"
gnash,"pop, pop rap   ☷   ⓘ"
Mariah Carey,"dance pop, urban contemporary, pop   ☷   ⓘ"
Wisin,"reggaeton, latin hip hop, urbano latino   ☷   ⓘ"
 Kranium,"basshall, dancehall   ☷   ⓘ"
 Becky G,"rap latina, latin viral pop, reggaeton, latin pop, pop, dance pop   ☷   ⓘ"
 Q,indie r&b   ☷   ⓘ
 Miami Yacine,"german hip hop, albanian hip hop   ☷   ⓘ"
 Murda Beatz,"canadian trap, canadian hip hop   ☷   ⓘ"
Beach Bunny,"chicago indie, indie pop, bubblegrunge, indie rock   ☷   ⓘ"
 TRAVI,"Sorry, that one doesn't seem to be on any of these maps yet."
God,"Sorry, that one doesn't seem to be on any of these maps yet."
 Luciano,german drill   ☷   ⓘ
Jung Kook,k-pop   ☷   ⓘ
Fivio Foreign,"brooklyn drill, new york drill, rap, trap   ☷   ⓘ"
 Bas,"sudanese hip hop, rap, sudanese pop, queens hip hop, underground hip hop, hip hop, southern hip hop, trap   ☷   ⓘ"
 RuPaul,"strut, dance pop, diva house, pop   ☷   ⓘ"
 Labrinth,"pop, indie poptimism   ☷   ⓘ"
 Nardo Wick,"florida rap, trap, rap   ☷   ⓘ"
 PnB Rock,"melodic rap, rap, trap, pop rap, pop   ☷   ⓘ"
 Kim Petras,"transpop, dance pop, pop, post-teen pop   ☷   ⓘ"
 Kirsty MacColl,"new wave pop, classic uk pop   ☷   ⓘ"
Bone Man,"Related artists in: psychedelic doom, instrumental stoner rock, italian stoner rock   ☷   ⓘ"
rraga,"Sorry, that one doesn't seem to be on any of these maps yet."
 Tahribad,"Sorry, that one doesn't seem to be on any of these maps yet."
Soso Maness,"rap marseille, pop urbaine, french hip hop, rap francais   ☷   ⓘ"
 Summer Walker,"r&b, pop, rap   ☷   ⓘ"
Dean Martin,"adult standards, lounge, easy listening   ☷   ⓘ"
Sheck Wes,"vapor trap, trap, rap, underground hip hop, viral rap   ☷   ⓘ"
 Ninho,"pop urbaine, french hip hop   ☷   ⓘ"
Halsey,"pop, etherpop, electropop, dance pop, indie poptimism   ☷   ⓘ"
 Quarterhead,"Related artists in: alt z, gen z singer-songwriter, sad rap, pop   ☷   ⓘ"
 Jamie Principle,"chicago house, classic house, hip house   ☷   ⓘ"
Rkomi,"italian pop, italian hip hop   ☷   ⓘ"
Keane,"piano rock, neo mellow, pop rock   ☷   ⓘ"
Mimi Webb,"uk pop, gen z singer-songwriter, pop, alt z, dance pop, post-teen pop   ☷   ⓘ"
Rema,nigerian pop   ☷   ⓘ
BLANCO,"italian pop, italian hip hop   ☷   ⓘ"
 Mc Frog,"funk viral, funk mandelao, funk bh, funk carioca, funk mtg   ☷   ⓘ"
WOS,"trap argentino, argentine indie   ☷   ⓘ"
 Vitor Fernandes,"arrocha, forro   ☷   ⓘ"
Sidhu Moose Wala,"pakistani hip hop, punjabi hip hop, desi hip hop   ☷   ⓘ"
 Dj Lv Mdp,"funk bh, funk mtg   ☷   ⓘ"
Suki Waterhouse,indie pop   ☷   ⓘ
 Dimitri Vegas,belgian edm   ☷   ⓘ
Hailee Steinfeld,"pop, post-teen pop, dance pop   ☷   ⓘ"
Ab,"Sorry, that one doesn't seem to be on any of these maps yet."
J,"Sorry, that one doesn't seem to be on any of these maps yet."
 Hava,"frauenrap, german hip hop   ☷   ⓘ"
 Burners,"Sorry, that one doesn't seem to be on any of these maps yet."
 Daft Punk,"filter house, electro   ☷   ⓘ"
Milly,"urbano latino, reggaeton flow, reggaeton, dominican pop   ☷   ⓘ"
NNON,"Sorry, that one doesn't seem to be on any of these maps yet."
 Offset,"rap, atl hip hop, trap, pop rap, southern hip hop, hip hop, viral rap   ☷   ⓘ"
 Desiigner,"viral trap, trap, rap, pop rap, underground hip hop   ☷   ⓘ"
 rei brown,chill r&b   ☷   ⓘ
BENEE,"nz pop, pop, alt z   ☷   ⓘ"
 Jamie Scott,uk pop   ☷   ⓘ
Starley,"tropical house, pop dance, aussietronica, dance pop, pop edm, electropop, edm, post-teen pop   ☷   ⓘ"
 Oliver Tree,alternative hip hop   ☷   ⓘ
Christina Aguilera,"dance pop, pop, post-teen pop   ☷   ⓘ"
 shy martin,"swedish electropop, alt z, electropop, pop, post-teen pop   ☷   ⓘ"
 Taiu,"Sorry, that one doesn't seem to be on any of these maps yet."
Christina Perri,"pop, neo mellow, post-teen pop, pop rock, dance pop   ☷   ⓘ"
e,"Sorry, that one doesn't seem to be on any of these maps yet."
twocolors,"pop dance, tropical house, edm, pop edm, dance pop   ☷   ⓘ"
 Zeeba,"brazilian edm, nova mpb   ☷   ⓘ"
Mozzy,"sacramento hip hop, trap, cali rap, southern hip hop, pop rap   ☷   ⓘ"
JP Saxe,"pop, canadian contemporary r&b, alt z, neo mellow   ☷   ⓘ"
 Lagique,"Sorry, that one doesn't seem to be on any of these maps yet."
 Wale,"rap, pop rap, trap, southern hip hop, r&b, hip hop, urban contemporary, gangster rap   ☷   ⓘ"
 Teto,trap baiano   ☷   ⓘ
Lil Dicky,"comedy rap, pop rap, rap   ☷   ⓘ"
Tierry,"arrocha, sertanejo pop, forro   ☷   ⓘ"
Irama,"italian pop, italian adult pop   ☷   ⓘ"
 Kamufle,turkish hip hop   ☷   ⓘ
 The Puppini Sisters,easy listening   ☷   ⓘ
 Zac Efron,"hollywood, post-teen pop, show tunes, pop   ☷   ⓘ"
 H,"Sorry, that one doesn't seem to be on any of these maps yet."
 Bomba Est,bomba y plena   ☷   ⓘ
 Gu,"Sorry, that one doesn't seem to be on any of these maps yet."
James Blake,"uk alternative pop, indie soul, electronica   ☷   ⓘ"
Foster The People,"modern rock, indietronica, rock   ☷   ⓘ"
 Billy Raffoul,canadian pop   ☷   ⓘ
 Snova,Related artists in: electro bailando   ☷   ⓘ
TOKYO,"Related artists in: german hip hop, german underground rap   ☷   ⓘ"
Silk City,edm   ☷   ⓘ
 Lizzo,"minnesota hip hop, pop, trap queen, escape room   ☷   ⓘ"
 LISA,k-pop   ☷   ⓘ
 Tammi Terrell,motown   ☷   ⓘ
 Wesley Safad,"Sorry, that one doesn't seem to be on any of these maps yet."
Rihanna,"barbadian pop, pop, urban contemporary, dance pop   ☷   ⓘ"
 Steve Aoki,"edm, electro house, pop dance, dance pop, tropical house, pop rap   ☷   ⓘ"
 Lil Pump,"miami hip hop, viral rap, vapor trap, trap, emo rap, rap   ☷   ⓘ"
Wizzard,"glam rock, classic uk pop   ☷   ⓘ"
 Moby,"downtempo, electronica   ☷   ⓘ"
 HUMAN,"Sorry, that one doesn't seem to be on any of these maps yet."
Gjon,"Related artists in: tallava, albanian pop   ☷   ⓘ"
Luude,aussietronica   ☷   ⓘ
Malu,arrocha   ☷   ⓘ
 Sam Dew,"Related artists in: alternative r&b, indie r&b, indie soul, chill r&b, r&b, escape room, art pop, experimental r&b, high vibe, neo soul   ☷   ⓘ"
 Shawn Mendes,"pop, canadian pop, viral pop, dance pop   ☷   ⓘ"
Nardo Wick,"florida rap, trap, rap   ☷   ⓘ"
Dj Kass,chilean hardcore   ☷   ⓘ
ix,"Sorry, that one doesn't seem to be on any of these maps yet."
 Nick Waterhouse,"chicago indie, funk   ☷   ⓘ"
 Lenny Tav,"Sorry, that one doesn't seem to be on any of these maps yet."
Maria Becerra,"pop argentino, latin pop   ☷   ⓘ"
 Brytiago,"trap latino, urbano latino, reggaeton, reggaeton flow, latin hip hop   ☷   ⓘ"
PinkPantheress,"Related artists in: indie pop, viral rap, alternative r&b, bedroom pop, dance pop, pop, sigilkore   ☷   ⓘ"
 Silk Sonic,neo soul   ☷   ⓘ
 DJ Biel do Furduncinho,funk carioca   ☷   ⓘ
Shawn Mendes,"pop, canadian pop, viral pop, dance pop   ☷   ⓘ"
Keisya Levronka,indonesian pop   ☷   ⓘ
 Selena Gomez,"pop, post-teen pop, dance pop   ☷   ⓘ"
 Seconds of Summer,"Sorry, that one doesn't seem to be on any of these maps yet."
Melanie Martinez,"pop, electropop, alt z   ☷   ⓘ"
Bing Crosby,"adult standards, easy listening   ☷   ⓘ"
 Natti Natasha,"rap latina, reggaeton, latin pop, urbano latino, latin hip hop   ☷   ⓘ"
Demi Lovato,"pop, post-teen pop, dance pop   ☷   ⓘ"
It,"Sorry, that one doesn't seem to be on any of these maps yet."
 Harm Franklin,alberta hip hop   ☷   ⓘ
 Quevedo,"rap canario, urbano latino   ☷   ⓘ"
 Grayson Villanueva,Related artists in: pop r&b   ☷   ⓘ
Arctic Monkeys,"sheffield indie, garage rock, permanent wave, modern rock, rock   ☷   ⓘ"
 Jhorrmountain,dutch hip hop   ☷   ⓘ
Quavo,"melodic rap, rap, atl hip hop, trap, southern hip hop, hip hop   ☷   ⓘ"
 Hozier,"irish singer-songwriter, pop   ☷   ⓘ"
The Script,"neo mellow, celtic rock, pop, pop rock   ☷   ⓘ"
SSIO,"afghan rap, hamburg hip hop, deep german hip hop, german hip hop   ☷   ⓘ"
PSY,"korean old school hip hop, k-rap, k-pop   ☷   ⓘ"
Ingratax,"urbano mexicano, concurso de talentos argentino, urbano latino   ☷   ⓘ"
 Kygo,"tropical house, pop dance, pop, edm   ☷   ⓘ"
Eazy,Related artists in: g funk   ☷   ⓘ
Selena Gomez,"pop, post-teen pop, dance pop   ☷   ⓘ"
 Reddz,"Sorry, that one doesn't seem to be on any of these maps yet."
 YUNGBLUD,"british indie rock, modern rock, rock   ☷   ⓘ"
Marian Hill,electropop   ☷   ⓘ
 Eminem,"detroit hip hop, rap, hip hop   ☷   ⓘ"
reo,bouyon   ☷   ⓘ
Sage The Gemini,"pop rap, hyphy, viral rap, dance pop, southern hip hop, rap   ☷   ⓘ"
 Joyner Lucas,"boston hip hop, pop rap, rap, hip hop   ☷   ⓘ"
 Europa,uk dance   ☷   ⓘ
ATB,"german trance, german dance, german techno, trance   ☷   ⓘ"
 Swarmz,uk hip hop   ☷   ⓘ
Kofs,"rap marseille, pop urbaine, rap francais, french hip hop, francoton   ☷   ⓘ"
DJ Ivis,"piseiro, arrocha   ☷   ⓘ"
Y,"Sorry, that one doesn't seem to be on any of these maps yet."
 Mozzy,"sacramento hip hop, trap, cali rap, southern hip hop, pop rap   ☷   ⓘ"
 James Bay,"neo mellow, pop   ☷   ⓘ"
Zion ,"reggaeton, latin hip hop, urbano latino, reggaeton flow   ☷   ⓘ"
 Arcane,"Related artists in: video game music, epicore, soundtrack, british soundtrack, modern alternative rock   ☷   ⓘ"
Bon Iver,"eau claire indie, melancholia, indie folk   ☷   ⓘ"
R,"Sorry, that one doesn't seem to be on any of these maps yet."
Tip,demoscene   ☷   ⓘ
ALMA,"dance pop, electropop   ☷   ⓘ"
erre Bourne,"Related artists in: channel pop, viral pop, acoustic cover, acoustic chill   ☷   ⓘ"
 Atlantic Holiday,"Sorry, that one doesn't seem to be on any of these maps yet."
 Myke Towers,"trap latino, urbano latino, reggaeton   ☷   ⓘ"
 PHresher,nyc rap   ☷   ⓘ
 Randy,"urbano latino, reggaeton, reggaeton flow, latin hip hop, perreo   ☷   ⓘ"
