autor,estilo
 Dante Klein,pop edm   ☷   ⓘ
Kenshi Yonezu,"j-pop, anime   ☷   ⓘ"
Subwoolfer,"Related artists in: barnemusikk, norwegian pop, eurovision   ☷   ⓘ"
 Anderson ,"Sorry, that one doesn't seem to be on any of these maps yet."
Wiktoria,"swedish pop, europop   ☷   ⓘ"
Danna Paola,"mexican pop, latin viral pop, latin pop, pop   ☷   ⓘ"
Luan Santana,"sertanejo universitario, arrocha, sertanejo, sertanejo pop   ☷   ⓘ"
Anirudh Ravichander,"tamil hip hop, desi hip hop, filmi   ☷   ⓘ"
 Bejo,"rap canario, urbano espanol   ☷   ⓘ"
Mac Miller,"pittsburgh rap, rap, hip hop   ☷   ⓘ"
 Shania Twain,"canadian pop, country dawn, canadian country, country, dance pop   ☷   ⓘ"
LX,"hamburg hip hop, german hip hop   ☷   ⓘ"
 Princess Nokia,"lgbtq+ hip hop, escape room, trap queen, alternative r&b, viral rap, pop   ☷   ⓘ"
 Tedua,"indie liguria, rap genovese, trap italiana, italian hip hop   ☷   ⓘ"
 Mason Ramsey,"contemporary country, country   ☷   ⓘ"
 Camila Cabello,"pop, dance pop, post-teen pop   ☷   ⓘ"
 Zak Abel,uk contemporary r&b   ☷   ⓘ
Niall Horan,"pop, post-teen pop, dance pop   ☷   ⓘ"
SAINt JHN,"melodic rap, slap house, rap, trap   ☷   ⓘ"
 Cristiano,"Sorry, that one doesn't seem to be on any of these maps yet."
King Von,chicago rap   ☷   ⓘ
Poo Bear,pop r&b   ☷   ⓘ
 Martin Solveig,"tropical house, pop dance, edm, disco house, house, dance pop, filter house, vocal house, electro house   ☷   ⓘ"
 Shakira,"colombian pop, latin pop, dance pop   ☷   ⓘ"
 Bright Sparks,"Related artists in: rock, art pop, dance rock, edm, electro, modern rock, new romantic, new wave, permanent wave, pop   ☷   ⓘ"
 Gavin James,"irish pop, neo mellow, pop   ☷   ⓘ"
 Avicii,"edm, pop dance, pop, pop rap, dance pop   ☷   ⓘ"
Orelsan,"rap conscient, old school rap francais, french hip hop   ☷   ⓘ"
 Loredana,"frauenrap, kosovan pop, german hip hop, romanian pop   ☷   ⓘ"
 AJ Mitchell,"pop, post-teen pop, alt z, social media pop, electropop, dance pop   ☷   ⓘ"
Carly Rae Jepsen,"pop, canadian pop, dance pop, post-teen pop, electropop   ☷   ⓘ"
AC,"Sorry, that one doesn't seem to be on any of these maps yet."
Surf Mesa,tropical house   ☷   ⓘ
Doode,"Related artists in: trap brasileiro, funk carioca, musica triste brasileira, plug brasileiro, rap cearense, trap baiano   ☷   ⓘ"
 Skip Marley,modern reggae   ☷   ⓘ
Trei Degete,"Related artists in: chanson virale, francoton, french hip hop, french pop, rap conscient, rap calme   ☷   ⓘ"
Lukas Graham,"scandipop, pop, danish pop   ☷   ⓘ"
Gzuz,"hamburg hip hop, german hip hop, deep german hip hop   ☷   ⓘ"
DNCE,"pop, dance pop, post-teen pop, edm   ☷   ⓘ"
Gotye,australian pop   ☷   ⓘ
Gusttavo Lima,"sertanejo universitario, arrocha, sertanejo   ☷   ⓘ"
Fireboy DML,afro dancehall   ☷   ⓘ
 Mert ,"german hip hop, deep german hip hop   ☷   ⓘ"
 Christopher von Uckermann,mexican pop   ☷   ⓘ
Boef,dutch hip hop   ☷   ⓘ
Aaliyah,"hip pop, urban contemporary, r&b, neo soul, contemporary r&b, dance pop   ☷   ⓘ"
 Yo Gotti,"trap, southern hip hop, tennessee hip hop, rap, pop rap, dirty south rap, gangster rap, memphis hip hop, hip hop   ☷   ⓘ"
Jess Glynne,"uk pop, pop, dance pop, tropical house, post-teen pop, pop dance   ☷   ⓘ"
 Abhir Hathi,urbano espanol   ☷   ⓘ
Lorde,"nz pop, pop, metropopolis, art pop   ☷   ⓘ"
GASHI,"trap soul, pop rap   ☷   ⓘ"
 Nego do Borel,"funk pop, funk carioca, funk das antigas, funk ostentacao   ☷   ⓘ"
Janelle Mon,"Sorry, that one doesn't seem to be on any of these maps yet."
Bozza,"german hip hop, german underground rap, german pop   ☷   ⓘ"
 MC GP,"funk consciente, funk paulista, funk ostentacao, funk carioca   ☷   ⓘ"
 CRO,german hip hop   ☷   ⓘ
Jhay Cortez,"trap latino, reggaeton flow, reggaeton   ☷   ⓘ"
 Justin Mylo,"pop edm, pop dance, electro house, edm   ☷   ⓘ"
Ava Max,"pop, dance pop   ☷   ⓘ"
YG,"rap, trap, pop rap, southern hip hop, hip hop, cali rap, gangster rap   ☷   ⓘ"
 Luar La L,"trap latino, reggaeton flow, reggaeton   ☷   ⓘ"
 Chief Keef,"chicago bop, rap, chicago drill, drill, chicago rap, trap, southern hip hop, hip hop, underground hip hop   ☷   ⓘ"
Vedo,"pop r&b, r&b, urban contemporary, pop rap   ☷   ⓘ"
 Mabel Matiz,turkish pop   ☷   ⓘ
Axwell ,"disco house, progressive electro house, edm, vocal house, electro house, progressive house, house, pop dance   ☷   ⓘ"
 Taxi B,"trap italiana, italian hip hop   ☷   ⓘ"
 Pailita,"drill chileno, urbano chileno   ☷   ⓘ"
Paul McCartney,"beatlesque, classic rock, rock, mellow gold, album rock, art rock, folk rock, soft rock   ☷   ⓘ"
Sam Fischer,"pop, australian pop, dance pop   ☷   ⓘ"
RBD,latin pop   ☷   ⓘ
Leah Kate,"alt z, pop   ☷   ⓘ"
 Cappadonna,"east coast hip hop, hardcore hip hop   ☷   ⓘ"
 Sjava,"afro soul, south african pop   ☷   ⓘ"
 The Temper Trap,modern rock   ☷   ⓘ
as,"Sorry, that one doesn't seem to be on any of these maps yet."
 Menor MC,"funk paulista, funk carioca, funk ostentacao   ☷   ⓘ"
 Zack De La Rocha,"industrial hip hop, political hip hop   ☷   ⓘ"
Future,"rap, atl hip hop, trap, southern hip hop, hip hop   ☷   ⓘ"
 Mirac,Related artists in: g-house   ☷   ⓘ
Benzz,"Related artists in: rap francais, french hip hop, melodic drill, pop urbaine, chill drill   ☷   ⓘ"
 The Chainsmokers,"pop, pop dance, edm, tropical house, dance pop, electropop   ☷   ⓘ"
 Wafia,australian pop   ☷   ⓘ
MC L da Vinte,"funk carioca, funk bh, funk ostentacao, funk mtg   ☷   ⓘ"
 Descemer Bueno,"Related artists in: cubaton, trova, cuban alternative, salsa cubana, modern salsa, timba   ☷   ⓘ"
THE ROOP,"eurovision, lithuanian rock, lithuanian pop   ☷   ⓘ"
Hozier,"irish singer-songwriter, pop   ☷   ⓘ"
 Cast,"Sorry, that one doesn't seem to be on any of these maps yet."
Rag,"Sorry, that one doesn't seem to be on any of these maps yet."
Lucenzo,"francoton, french pop, reggaeton   ☷   ⓘ"
 Mansa,"Related artists in: australian rock, experimental pop, krajiska muzika   ☷   ⓘ"
Bausa,german hip hop   ☷   ⓘ
Marc Segu,"Sorry, that one doesn't seem to be on any of these maps yet."
ChocQuibTown,"reggaeton colombiano, colombian pop, salsa choke, colombian rock, colombian hip hop, latin pop, latin alternative, tropical   ☷   ⓘ"
 Eagles Of Death Metal,"garage rock, garage rock revival, palm desert scene, modern blues rock, alternative rock, modern rock, blues rock, rock   ☷   ⓘ"
Surf Curse,"surf punk, indie surf, vegas indie, dreamo   ☷   ⓘ"
Piso ,Related artists in: commons   ☷   ⓘ
 Rymez,channel pop   ☷   ⓘ
 Haze,latin pop   ☷   ⓘ
Ludacris,"pop rap, old school atlanta hip hop, atl hip hop, southern hip hop, rap, hip hop, dirty south rap, dance pop, trap   ☷   ⓘ"
Monsieur Perin,"Sorry, that one doesn't seem to be on any of these maps yet."
Lauv,pop   ☷   ⓘ
Justin Wellington,"pacific islands pop, melanesian pop, png pop   ☷   ⓘ"
 MC Cabelinho,"trap funk, funk consciente, funk carioca   ☷   ⓘ"
Bella Poarch,modern alternative pop   ☷   ⓘ
 YK Osiris,"melodic rap, pop r&b, viral rap   ☷   ⓘ"
 Mitchell Ayres ,Related artists in: man's orchestra   ☷   ⓘ
JIN,k-pop   ☷   ⓘ
Screamin,"Sorry, that one doesn't seem to be on any of these maps yet."
 SCH,"rap marseille, pop urbaine, french hip hop   ☷   ⓘ"
Why Don,"Sorry, that one doesn't seem to be on any of these maps yet."
Train,"pop rock, neo mellow, pop, dance pop   ☷   ⓘ"
Porter Robinson,"complextro, edm, melodic dubstep, progressive electro house, pop dance   ☷   ⓘ"
 Alessia Cara,"pop, canadian pop, canadian contemporary r&b, post-teen pop, dance pop, electropop   ☷   ⓘ"
 Rex Orange County,"bedroom pop, pop   ☷   ⓘ"
ine,"Sorry, that one doesn't seem to be on any of these maps yet."
Vince Staples,"conscious hip hop, underground hip hop, rap, hip hop   ☷   ⓘ"
Majid Jordan,"canadian contemporary r&b, trap soul, r&b, pop   ☷   ⓘ"
 DJ Lucas Beat,sertanejo pop   ☷   ⓘ
 A,"Sorry, that one doesn't seem to be on any of these maps yet."
Zuna,"german hip hop, albanian hip hop   ☷   ⓘ"
James TW,"uk pop, neo mellow, pop, post-teen pop, pop rock   ☷   ⓘ"
 Nimo,"german hip hop, swedish hip hop   ☷   ⓘ"
 Kellin Quinn,"Related artists in: pop punk, pixie, punk cover   ☷   ⓘ"
 Amanda Reifer,barbadian pop   ☷   ⓘ
 DJ Khaled,"rap, miami hip hop, pop rap, southern hip hop, trap, hip hop   ☷   ⓘ"
Young M,"Sorry, that one doesn't seem to be on any of these maps yet."
KREAM,"pop dance, edm, tropical house, house, pop edm, electro house, deep groove house, dance pop   ☷   ⓘ"
 Zebra Katz,"lgbtq+ hip hop, escape room, vogue, shimmer pop, alternative r&b   ☷   ⓘ"
 Stevens,pop rock brasileiro   ☷   ⓘ
 Totoy El Frio,reggaeton colombiano   ☷   ⓘ
Zac Brown Band,"contemporary country, country road, country, modern country rock   ☷   ⓘ"
 Justin Quiles,"trap latino, reggaeton, latin hip hop   ☷   ⓘ"
 Kyla,uk funky   ☷   ⓘ
Bag Raiders,"australian dance, alternative dance, indietronica, filter house, nu disco, new rave   ☷   ⓘ"
 DJ Nikolas Alves Exclusive,"Sorry, that one doesn't seem to be on any of these maps yet."
Bobby Shmurda,"nyc rap, trap, rap, southern hip hop, pop rap   ☷   ⓘ"
 Andrea Bocelli,"operatic pop, italian tenor, classical tenor   ☷   ⓘ"
Queen,"glam rock, classic rock, rock   ☷   ⓘ"
 G Herbo,"chicago rap, chicago drill, drill, trap, rap, southern hip hop, hip hop   ☷   ⓘ"
 Robert Trujillo,"Related artists in: melodic thrash, modern hard rock, north carolina metal, nyc metal, slc indie, symphonic power metal, utah metal, wisconsin metal   ☷   ⓘ"
Dj LK da Esc,"Related artists in: funk capixaba, funk mtg, funk viral   ☷   ⓘ"
Xam,"Related artists in: emo rap, sad rap, sad lo-fi, lo-fi chill   ☷   ⓘ"
Machine Gun Kelly,"ohio hip hop, pop rap, pop   ☷   ⓘ"
Ziv Zaifman,show tunes   ☷   ⓘ
 Ansel Elgort,"Related artists in: hollywood, show tunes, broadway, dance pop, pop, post-teen pop   ☷   ⓘ"
JENNIE,k-pop   ☷   ⓘ
Gente De Zona,"cubaton, latin hip hop, latin pop   ☷   ⓘ"
Troye Sivan,"pop, viral pop, australian pop, dance pop   ☷   ⓘ"
Gradur,"pop urbaine, french hip hop, francoton, rap francais   ☷   ⓘ"
 Mainstreet,"trap funk, trap carioca   ☷   ⓘ"
 Defkhan,turkish hip hop   ☷   ⓘ
Mar,"Sorry, that one doesn't seem to be on any of these maps yet."
ThxSoMch,"Related artists in: aesthetic rap, dark trap, sad lo-fi, sad rap, emo rap, meme rap, viral rap   ☷   ⓘ"
Amico,"Sorry, that one doesn't seem to be on any of these maps yet."
Lil Xan,emo rap   ☷   ⓘ
Little Nell,"novelty, hollywood   ☷   ⓘ"
 Fran C,"reggaeton chileno, trap latino, reggaeton flow   ☷   ⓘ"
blackbear,"pop, pop rap   ☷   ⓘ"
 Simone ,"mpb, pop nacional antigas, bossa nova, samba   ☷   ⓘ"
The Kid LAROI,"australian hip hop, pop   ☷   ⓘ"
SCH,"rap marseille, pop urbaine, french hip hop   ☷   ⓘ"
 MC G,"Sorry, that one doesn't seem to be on any of these maps yet."
 Julia Michaels,"pop, post-teen pop, dance pop, alt z, electropop   ☷   ⓘ"
 De La Ghetto,"reggaeton, latin hip hop, trap latino, reggaeton flow   ☷   ⓘ"
 Os Bar,"Sorry, that one doesn't seem to be on any of these maps yet."
 Baby Goth,"Related artists in: trap queen, emo rap, alt z, dark trap, escape room, rap latina   ☷   ⓘ"
Tarkan,turkish pop   ☷   ⓘ
guez,romanian trap   ☷   ⓘ
 WOS,"trap argentino, argentine indie   ☷   ⓘ"
TWISTED,Related artists in: drift phonk   ☷   ⓘ
 Nicky Jam,"reggaeton, latin hip hop, trap latino   ☷   ⓘ"
ENHYPEN,"k-pop boy group, anime   ☷   ⓘ"
 Doja Cat,"pop, dance pop   ☷   ⓘ"
Eslabon Armado,"sierreno, sad sierreno, corridos tumbados, nueva musica mexicana, corrido   ☷   ⓘ"
 Yandel,"reggaeton, trap latino, latin hip hop, reggaeton flow   ☷   ⓘ"
 Kehlani,"pop, r&b, post-teen pop, rap, dance pop   ☷   ⓘ"
Bruce Springsteen,"heartland rock, permanent wave, mellow gold, rock, classic rock, singer-songwriter   ☷   ⓘ"
TOMORROW X TOGETHER,"k-pop boy group, k-pop   ☷   ⓘ"
Riton,"uk dance, house, pop dance, edm, tropical house, dance pop   ☷   ⓘ"
The Rolling Stones,"british invasion, rock, classic rock   ☷   ⓘ"
Tate McRae,pop   ☷   ⓘ
 Blac Youngsta,"memphis hip hop, trap, southern hip hop, rap, pop rap   ☷   ⓘ"
 Tz da Coronel,"trap funk, funk carioca   ☷   ⓘ"
 Quavo,"rap, melodic rap, atl hip hop, trap, southern hip hop, hip hop   ☷   ⓘ"
 Elams,"rap marseille, pop urbaine, francoton, rap francais, french hip hop   ☷   ⓘ"
Chris Jedi,"trap latino, reggaeton, reggaeton flow, latin hip hop   ☷   ⓘ"
 Juliano Maderada,"Related artists in: nova mpb, brazilian indie, mpb, samba, bossa nova, manguebeat, nova musica pernambucana, velha guarda, maracatu, musica popular paraense   ☷   ⓘ"
 Aspova,"turkish trap pop, turkish hip hop, new school turkce rap   ☷   ⓘ"
 MERO,german hip hop   ☷   ⓘ
VIC MENSA,"conscious hip hop, underground hip hop, pop rap, chicago rap, rap, trap, hip hop   ☷   ⓘ"
 Annie Lennox,"new wave pop, soft rock, singer-songwriter, pop rock, mellow gold   ☷   ⓘ"
HVME,slap house   ☷   ⓘ
EL,"Related artists in: afro dancehall, azonto, dance pop, deep symphonic black metal, ghanaian pop   ☷   ⓘ"
Agust D,k-rap   ☷   ⓘ
 Lexie Liu,chinese electropop   ☷   ⓘ
 Camilo,"reggaeton colombiano, colombian pop   ☷   ⓘ"
 Lil Yachty,"melodic rap, rap, atl hip hop, trap, viral rap, hip hop, underground hip hop   ☷   ⓘ"
LeeHi,"k-pop, pop   ☷   ⓘ"
KAROL G,"reggaeton colombiano, reggaeton   ☷   ⓘ"
 CORPSE,viral rap   ☷   ⓘ
 Rennan da Penha,"funk 150 bpm, funk carioca   ☷   ⓘ"
 ATR Son Son,"Sorry, that one doesn't seem to be on any of these maps yet."
 Pablo Chill,"Sorry, that one doesn't seem to be on any of these maps yet."
 Tyler,"Sorry, that one doesn't seem to be on any of these maps yet."
 SAFE,"trap soul, canadian hip hop   ☷   ⓘ"
Arizona Zervas,"rhode island rap, pop rap, viral rap, pop   ☷   ⓘ"
 J Hus,"afroswing, uk hip hop, grime   ☷   ⓘ"
LINE,"Related artists in: danish pop, danish hip hop   ☷   ⓘ"
 Disney,"Related artists in: kleine hoerspiel, disney horspiele, movie tunes, disney   ☷   ⓘ"
Vicetone,"pop dance, edm, pop edm, tropical house, progressive electro house, electro house   ☷   ⓘ"
 Gia Koka,"Related artists in: aussietronica, pop r&b   ☷   ⓘ"
Zoe Wees,german pop   ☷   ⓘ
Killer Mike,"old school atlanta hip hop, political hip hop, conscious hip hop, atl hip hop, escape room, southern hip hop, alternative hip hop, dirty south rap   ☷   ⓘ"
Ant Saunders,"chill r&b, pop   ☷   ⓘ"
Paramore,"candy pop, pixie, pop emo, pop punk   ☷   ⓘ"
 DaChoyce,"Related artists in: polish hip hop, polish trap   ☷   ⓘ"
Davi Kneip,"funk consciente, funk bh, funk carioca, funk mtg   ☷   ⓘ"
Childish Gambino,"atl hip hop, rap, hip hop, pop   ☷   ⓘ"
 Megan Thee Stallion,"trap queen, houston rap, pop, rap, dance pop   ☷   ⓘ"
Skrillex,"brostep, complextro, electro, edm   ☷   ⓘ"
 Erika Sirola,finnish pop   ☷   ⓘ
Dr,"Sorry, that one doesn't seem to be on any of these maps yet."
Gloria Groove,"pop lgbtq+ brasileira, funk carioca   ☷   ⓘ"
 Wisin,"reggaeton, latin hip hop, trap latino   ☷   ⓘ"
 DJ Yuri Martins,"Related artists in: funk carioca, funk ostentacao, funk paulista, funk consciente, funk mtg   ☷   ⓘ"
 Poo Bear,pop r&b   ☷   ⓘ
Rob ,"Sorry, that one doesn't seem to be on any of these maps yet."
RAF Camora,german hip hop   ☷   ⓘ
Bruno Major,pop   ☷   ⓘ
 Animus,"deep german hip hop, german hip hop   ☷   ⓘ"
 TisaKorean,"viral rap, houston rap   ☷   ⓘ"
 Mike WiLL Made,"Sorry, that one doesn't seem to be on any of these maps yet."
Carolina Gait,"Sorry, that one doesn't seem to be on any of these maps yet."
r,"Related artists in: j-idol, j-poprock, classic j-pop   ☷   ⓘ"
 Lil Tecca,"melodic rap, pluggnb, rap, trap   ☷   ⓘ"
 Chencho Corleone,reggaeton flow   ☷   ⓘ
Moon Taxi,"modern rock, indie poptimism, stomp and holler, modern alternative rock   ☷   ⓘ"
 ROSAL,argentine indie   ☷   ⓘ
Lee,"Sorry, that one doesn't seem to be on any of these maps yet."
rze,"hardcore hip hop, east coast hip hop, hip hop, alternative hip hop   ☷   ⓘ"
Bobby ,k-pop   ☷   ⓘ
 Goodboys,uk dance   ☷   ⓘ
Noah Cyrus,"pop, post-teen pop   ☷   ⓘ"
 Pusha T,"rap, virginia hip hop, hip hop, southern hip hop, trap, underground hip hop, alternative hip hop, pop rap   ☷   ⓘ"
 L,"Sorry, that one doesn't seem to be on any of these maps yet."
Residente,venezuelan hip hop   ☷   ⓘ
Grupo F,"Sorry, that one doesn't seem to be on any of these maps yet."
Jaden,"rap, pop   ☷   ⓘ"
 Kenny Mason,"indie hip hop, atl hip hop, underground hip hop   ☷   ⓘ"
 Cruz Cafun,"Sorry, that one doesn't seem to be on any of these maps yet."
Robin Bengtsson,"swedish idol pop, swedish pop, eurovision, europop   ☷   ⓘ"
Dreamville,"rap, hip hop, underground hip hop   ☷   ⓘ"
 Jack The Smoker,"italian underground hip hop, italian hip hop   ☷   ⓘ"
 Ashanti,"hip pop, urban contemporary, r&b, dance pop, hip hop   ☷   ⓘ"
Thurl Ravenscroft,movie tunes   ☷   ⓘ
Bellakath,perreo   ☷   ⓘ
David Guetta,"big room, dance pop, edm, pop dance, pop   ☷   ⓘ"
Lil Pump,"miami hip hop, viral rap, trap, vapor trap, emo rap, rap   ☷   ⓘ"
 Mark Ronson,"dance pop, pop   ☷   ⓘ"
Kickers,"Related artists in: cartoon, pokemon   ☷   ⓘ"
Purple Disco Machine,"tropical house, deep house, house   ☷   ⓘ"
p,"Sorry, that one doesn't seem to be on any of these maps yet."
Pritam,"indian instrumental, modern bollywood, filmi   ☷   ⓘ"
 MIMI,vocaloid   ☷   ⓘ
 Mustafa,chill pop   ☷   ⓘ
 Thiago Jhonathan ,"Sorry, that one doesn't seem to be on any of these maps yet."
n ,"Sorry, that one doesn't seem to be on any of these maps yet."
 CADE,pop edm   ☷   ⓘ
Sabrina Carpenter,"pop, post-teen pop, dance pop, alt z   ☷   ⓘ"
 Rashmi Virag,modern bollywood   ☷   ⓘ
 Mila,"Sorry, that one doesn't seem to be on any of these maps yet."
Imagine Dragons,"modern rock, rock   ☷   ⓘ"
Jorja Smith,"uk contemporary r&b, r&b, pop   ☷   ⓘ"
 Disclosure,"uk dance, house, edm, pop   ☷   ⓘ"
Sunstroke Project,"moldovan pop, eurovision   ☷   ⓘ"
One Direction,"boy band, pop, talent show, post-teen pop   ☷   ⓘ"
DLE,"Related artists in: german alternative rap, antideutsche, german hip hop, german jazz rap, bayerischer rap, german indie   ☷   ⓘ"
 Seraphine,"Related artists in: video game music, chill r&b, otacore   ☷   ⓘ"
Jack Harlow,"kentucky hip hop, deep underground hip hop, rap, pop   ☷   ⓘ"
 Big Lenbo,"Related artists in: underground hip hop, pop rap, conscious hip hop, deep underground hip hop, alternative hip hop, canadian hip hop, detroit hip hop, dmv rap, hip hop, rap   ☷   ⓘ"
ROS,"Related artists in: italian indie pop, italian alternative, indie rock italiano, italian emo, italian post-hardcore, punk rock italiano   ☷   ⓘ"
Flipp Dinero,"melodic rap, rap, trap, vapor trap, viral rap, pop rap, underground hip hop   ☷   ⓘ"
 Saudi,south african hip hop   ☷   ⓘ
Tom Petty and the Heartbreakers,"rock, heartland rock, classic rock, mellow gold, album rock, soft rock, singer-songwriter, pop rock, folk rock   ☷   ⓘ"
Alejandro Fern,"Sorry, that one doesn't seem to be on any of these maps yet."
YBN Nahmir,"viral rap, alabama rap, vapor trap, trap, rap, underground hip hop   ☷   ⓘ"
 Jay Rock,"rap, conscious hip hop, hip hop, southern hip hop, trap, underground hip hop, pop rap, gangster rap   ☷   ⓘ"
 Jerry Smith,"funk carioca, brega funk   ☷   ⓘ"
 Matu,Related artists in: indie pop   ☷   ⓘ
Kim Loaiza,reggaeton mexicano   ☷   ⓘ
 Residente,venezuelan hip hop   ☷   ⓘ
Seeb,"tropical house, pop dance, edm, pop edm, norwegian pop, dance pop, pop, electro house, electropop   ☷   ⓘ"
 Shirin David,"frauenrap, german hip hop, german pop   ☷   ⓘ"
NMIXX,"k-pop girl group, k-pop   ☷   ⓘ"
 A R I Z O N A,"tropical house, indie poptimism, electropop, pop dance, pop, pop edm   ☷   ⓘ"
 Sorana,romanian pop   ☷   ⓘ
 Clara Mae,"alt z, electropop, post-teen pop, pop, social media pop, swedish pop   ☷   ⓘ"
Myke Towers,"trap latino, reggaeton   ☷   ⓘ"
Guilherme ,"Related artists in: axe, pagode, sertanejo, samba, sertanejo universitario   ☷   ⓘ"
Nina Nesbitt,"uk pop, alt z, neo-singer-songwriter, post-teen pop, electropop, pop, dance pop   ☷   ⓘ"
 The Lightning Seeds,"britpop, new wave pop, new romantic, new wave, pop rock   ☷   ⓘ"
 Brendon Urie,"Related artists in: modern rock, pop rock, emo, neo mellow, pop punk, rock   ☷   ⓘ"
 John Martin,pop edm   ☷   ⓘ
 Deniz Tekin,"turkish alt pop, turkish rock   ☷   ⓘ"
Miguel,"r&b, urban contemporary, pop, dance pop, hip hop   ☷   ⓘ"
Elley Duh,"Sorry, that one doesn't seem to be on any of these maps yet."
Hearts ,"Related artists in: gaming edm, pop edm, volkstumliche musik   ☷   ⓘ"
Slade,"glam rock, hard rock, album rock, classic uk pop, blues rock, art rock   ☷   ⓘ"
Felipe Ara,"Sorry, that one doesn't seem to be on any of these maps yet."
Thomas Rhett,"contemporary country, country road, country   ☷   ⓘ"
Sean Kingston,"dance pop, miami hip hop, pop, post-teen pop, urban contemporary, rap   ☷   ⓘ"
Felix Jaehn,"tropical house, german dance, pop dance, edm, dance pop, electro house, pop   ☷   ⓘ"
Lasso,"pop venezolano, latin pop   ☷   ⓘ"
 PNAU,"australian electropop, aussietronica, australian dance, alternative dance   ☷   ⓘ"
Jessi,k-pop   ☷   ⓘ
Lovejoy,"dream smp, indie pop   ☷   ⓘ"
JVKE,"modern indie pop, pop   ☷   ⓘ"
 Mari Fernandez,"arrochadeira, arrocha   ☷   ⓘ"
 Sean Paul,"dance pop, pop rap, dancehall   ☷   ⓘ"
 Jay ,"underground hip hop, dmv rap, rap, hip hop   ☷   ⓘ"
 Jennifer Hudson,"r&b, neo soul, urban contemporary, dance pop, hollywood, hip pop   ☷   ⓘ"
 Jd Pantoja,"latin viral pop, reggaeton mexicano   ☷   ⓘ"
MAX,"pop, viral pop, post-teen pop, dance pop   ☷   ⓘ"
 paopao,"Related artists in: trap latino, reggaeton flow, rap boricua, trap boricua   ☷   ⓘ"
anees,"Related artists in: pop, pop rap, sad rap, chill r&b, gen z singer-songwriter, underground hip hop   ☷   ⓘ"
 Juseph,urbano espanol   ☷   ⓘ
Wisin ,"reggaeton, latin hip hop, trap latino   ☷   ⓘ"
 The Chicks,"country, country dawn, pop   ☷   ⓘ"
 Landon Barker,"Sorry, that one doesn't seem to be on any of these maps yet."
Naomi Scott,"vapor pop, hollywood   ☷   ⓘ"
AP Rocky,"Sorry, that one doesn't seem to be on any of these maps yet."
The Walters,chicago indie   ☷   ⓘ
 Ryan Riback,melbourne bounce   ☷   ⓘ
 Night Lovell,"canadian trap, ottawa rap, dark trap, underground hip hop, aesthetic rap, canadian hip hop   ☷   ⓘ"
 Liz Gillies,"Related artists in: adult standards, lounge, vocal jazz, contemporary vocal jazz, swing, easy listening   ☷   ⓘ"
 Trap Capos,"trap latino, reggaeton flow, reggaeton   ☷   ⓘ"
 Oh Wonder,electropop   ☷   ⓘ
Trueno,"argentine hip hop, trap argentino, bases de freestyle, trap latino   ☷   ⓘ"
Peach Tree Rascals,pop   ☷   ⓘ
Olivia Holt,"post-teen pop, social media pop, alt z, pop, dance pop   ☷   ⓘ"
 ALMA,dance pop   ☷   ⓘ
 Lenny Santos,"Related artists in: reggaeton, trap latino, latin hip hop, reggaeton flow, reggaeton colombiano, bachata, latin pop   ☷   ⓘ"
S REVENGE,"Sorry, that one doesn't seem to be on any of these maps yet."
MC,"Sorry, that one doesn't seem to be on any of these maps yet."
 DJ SpinKing,"Related artists in: slow game, pop r&b, west coast trap, nz hip hop   ☷   ⓘ"
 Rei,trap argentino   ☷   ⓘ
 Nigo,"Related artists in: alternative hip hop, underground hip hop, escape room, experimental hip hop, psychedelic hip hop, boom bap, hip hop, collage pop, rap   ☷   ⓘ"
 Rowdy Rebel,"nyc rap, trap   ☷   ⓘ"
 Bootsy Collins,"p funk, funk, soul   ☷   ⓘ"
James Hersey,"Related artists in: tropical house, electropop, deep tropical house, indie poptimism, new french touch, vapor soul, german indie, edm, la pop, nyc pop   ☷   ⓘ"
y,"Sorry, that one doesn't seem to be on any of these maps yet."
Zay Hilfigerrr,"Related artists in: chicago bop, viral trap   ☷   ⓘ"
Vegedream,"francoton, pop urbaine, french hip hop   ☷   ⓘ"
 Ryan Lewis,"Related artists in: pop rap, indie pop rap, rap, hip hop, pop, seattle hip hop, dance pop, alternative hip hop, conscious hip hop, political hip hop   ☷   ⓘ"
 Showtek,"classic hardstyle, edm, pop dance, electro house, progressive electro house, euphoric hardstyle   ☷   ⓘ"
ACRAZE,"Related artists in: electro house, edm, bass house, electronic trap, dubstep, brostep, house, pop dance, deep groove house, gaming dubstep   ☷   ⓘ"
Rich The Kid,"melodic rap, rap, trap, atl hip hop, plugg, pop rap, vapor trap, southern hip hop, viral rap, hip hop   ☷   ⓘ"
Mc Anjim,"funk viral, rap mineiro, funk bh, funk mtg, funk carioca   ☷   ⓘ"
Kehlani,"pop, r&b, post-teen pop, rap, dance pop   ☷   ⓘ"
Lu,"Sorry, that one doesn't seem to be on any of these maps yet."
Summer Walker,"r&b, pop, rap   ☷   ⓘ"
 Hayki,"turkish hip hop, turkish trap, turkish trap pop   ☷   ⓘ"
Lost Frequencies,"tropical house, belgian edm, pop dance, edm, pop   ☷   ⓘ"
 Marc E,"glam rock, protopunk, rock, classic rock, psychedelic rock, art rock, album rock, folk rock, blues rock   ☷   ⓘ"
Devin Dawson,"contemporary country, modern country rock, country pop, country road   ☷   ⓘ"
 Olga Merediz,"Related artists in: broadway, show tunes, hollywood   ☷   ⓘ"
